,,Year Model ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
make,model,1973 & OLDER ,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,TOTAL
M G ,*UNKNOWN* ,18275,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18310
MASERATI ,*UNKNOWN* ,252,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273
MAZDA ,*UNKNOWN* ,696,8,2,16,1,24,9,0,407,82,1,17,9,77,29,20,30,115,29,37,38,58,28,94,21,97,45,0,0,1,0,0,0,0,1991
MERCEDES-BENZ ,*UNKNOWN* ,41024,45,118,463,373,522,29,489,1280,2327,3996,6938,181,12,269,35,1,2,122,5,17,1,3,0,83,10,2,1,0,0,0,0,0,0,58348
MERCURY ,*UNKNOWN* ,52766,314,623,471,1178,514,897,635,82,8,30,53,62,118,135,143,148,102,171,163,118,132,122,129,212,72,114,19,0,12,0,0,2,0,59545
MITSUBISHI ,*UNKNOWN* ,3,0,0,0,0,0,0,0,0,0,11,1,23,0,19,30,31,66,65,96,50,69,93,52,83,27,64,9,0,0,0,0,181,0,973
NISSAN/DATSUN ,*UNKNOWN* ,23518,0,0,65,139,0,0,4,160,16,63,5,47,38,27,14,41,6823,118,93,69,86,159,163,108,31,152,24,0,0,0,0,0,0,31963
OLDSMOBILE ,*UNKNOWN* ,100084,189,349,294,567,145,177,93,151,104,149,214,335,258,212,276,156,171,103,154,102,77,121,73,70,75,103,35,3,18,0,0,0,0,104858
OPEL ,*UNKNOWN* ,2312,0,0,64,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
OTHER ,*UNKNOWN* ,444186,1260,603,17885,603,1442,817,1304,2859,3032,806,494,494,5535,152,190,192,172,111,2759,71,81,113,159,167,2756,71,621,1,0,2,0,0,0,488938
PEUGEOT ,*UNKNOWN* ,29,0,0,0,0,8,0,0,398,350,1,449,0,1,0,265,493,61,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
PLYMOUTH ,*UNKNOWN* ,111516,338,150,59,58,39,66,54,25,21,35,16,48,41,68,291,90,103,97,106,93,82,41,184,164,22,51,12,0,0,0,0,0,0,113870
PONTIAC ,*UNKNOWN* ,134724,880,841,1412,1046,223,276,97,322,103,75,83,103,394,208,144,260,223,218,244,119,160,320,163,247,122,248,71,9,60,0,0,0,0,143395
PORSCHE ,*UNKNOWN* ,23755,0,274,0,61,105,33,245,27,0,0,3,2,4,0,2,0,3,0,0,0,0,0,0,8,0,0,0,0,168,0,0,0,0,24690
RENAULT ,*UNKNOWN* ,164,0,0,4,1,0,0,44,0,42,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841
ROLLS ROYCE ,*UNKNOWN* ,1742,0,0,0,395,0,0,0,22,0,272,6,19,3,3,3,0,4,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,2474
SAAB ,*UNKNOWN* ,982,0,0,0,0,0,70,0,0,355,0,11,2,10,35,28,8,8,2,4,3,1,13,2,5,1,3,0,0,0,0,0,0,0,1543
STERLING/ROVER ,*UNKNOWN* ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178
SUBARU ,*UNKNOWN* ,153,0,0,0,2,155,251,711,9,1,1,1,5,33,44,113,12,49,25,77,48,18,66,27,74,43,29,12,0,0,0,0,0,0,1959
SUZUKI ,*UNKNOWN* ,5,0,0,0,0,0,0,0,0,0,0,1,1,17,76,52,1,2,6,3,0,6,25,4,2,11,10,0,0,0,0,0,0,0,222
TOYOTA ,*UNKNOWN* ,12238,0,13,14,0,128,81,20,231,83,38,100,115,159,90,174,222,456,126,148,104,120,274,447,162,88,50,5,0,0,0,0,0,0,15686
TRIUMPH ,*UNKNOWN* ,8192,0,0,51,16,48,10,8,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8435
VOLKSWAGEN ,*UNKNOWN* ,198158,77,153,29,31,2187,308,0,79,37,310,83,20,12,10,7,15,14,15,4,5,3,12,28,109,4,190,3,0,0,0,0,0,0,201903
VOLVO ,*UNKNOWN* ,8610,136,4,232,107,31,133,232,217,13,14,9,11,15,22,4,21,10,14,14,13,16,128,45,59,33,118,6,0,0,0,0,0,0,10267
AUDI ,100,0,20,7,31,10,0,0,0,0,0,0,0,0,0,0,0,4527,5316,4747,6885,4886,3472,0,0,0,0,0,0,0,0,0,0,0,0,29901
AUDI ,FOX ,0,38,33,67,60,140,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366
AUSTIN ,MARINA ,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
BUICK ,APOLLO ,0,729,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048
BUICK ,CENTURY/REGAL ,0,475,0,0,4475,7766,9535,13522,17604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53377
BUICK ,ELECTRA ,0,1188,1658,3073,6329,6396,7235,3173,4066,6807,14794,14470,26340,35203,35713,51250,55134,34427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307256
BUICK ,LESABRE ,0,1283,2543,2043,7099,8380,8885,4071,4148,8711,20468,32550,41432,27748,54406,65750,90553,114555,64396,131785,121130,130711,146623,47433,195277,133751,94270,182175,134977,134250,122224,118256,75830,0,2327713
BUICK ,RIVIERA ,0,273,287,519,1125,1285,1915,1831,2654,3948,6623,10100,16544,5283,4678,3950,13531,16436,10501,10612,3945,0,35348,15806,16853,10001,2006,0,0,0,0,0,0,0,196054
CADILLAC ,60 SPECIAL BRGHAM ,0,358,663,1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584
CADILLAC ,CALAIS ,0,100,202,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494
CADILLAC ,DEVILLE ,0,2639,4245,6659,14443,15783,22751,10129,10138,11197,21215,24725,30375,56244,62127,73385,91315,106918,98580,104110,102530,99815,94963,97791,88721,98346,101601,88769,85819,89411,76574,72451,47852,0,1911621
CADILLAC ,ELDORADO ,0,2369,3506,6897,2265,4222,4233,3499,5299,5924,11280,18796,24225,8086,8279,20000,21167,16360,12655,24773,17479,20892,22038,18380,18210,17059,15349,13442,10056,6893,0,0,0,0,363633
CADILLAC ,FLEETWOOD ,0,335,191,262,0,0,0,0,0,0,0,0,0,0,0,0,19308,17419,9521,5646,3326,19110,11477,10668,0,0,0,0,0,0,0,0,0,0,97263
CADILLAC ,FLEETWOOD 75 ,0,105,96,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
CHEVROLET ,BELAIR ,0,617,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138
CHEVROLET ,BLAZER ,0,77,21,329,577,752,733,346,515,632,0,0,0,0,0,0,0,0,0,0,0,0,160842,193242,162373,193139,161095,205995,136161,86051,47340,43742,3963,0,1397925
CHEVROLET ,BLAZER K10 ,0,2680,2569,4716,5771,6392,8267,3059,3174,3733,6839,11987,13146,14664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86997
CHEVROLET ,C10 ,0,23015,16695,32739,25844,30763,41273,29148,53630,50248,54408,75743,88809,95115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617430
