STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1NYES0005,"SCHROON LAKE 3.5 SW, NY US",43.808639,-73.818869,416.7
USC00301388,"CHASES LAKE, NY US",43.75923,-75.29982,390.4
USC00306376,"PALERMO 2 SSE, NY US",43.3319,-76.2691,135.6
USC00300055,"ALBION, NY US",43.26338,-78.21527,143.9
USC00301265,"CAYUGA LOCK NUMBER 1, NY US",42.948,-76.7342,115.8
USC00303444,"GREENE, NY US",42.32426,-75.77095,280.4
USW00014750,"GLENS FALLS AIRPORT, NY US",43.33849,-73.61024,97.7
USC00303322,"GLOVERSVILLE 7 NW PECK LAKE, NY US",43.115,-74.4236,443.5
USC00301264,"CATTARAUGUS 3 W, NY US",42.34311,-78.91234,520.6
US1NYER0211,"AKRON 3.6 W, NY US",43.02207,-78.5671,195.4
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7
US1NYSF0103,"RIDGE 1.8 SE, NY US",40.89581,-72.853872,21
US1NYSF0100,"PORT JEFFERSON STATION 0.3 SSW, NY US",40.919969,-73.069407,53.6
US1NYER0219,"WEST SENECA 2.8 ENE, NY US",42.852141,-78.700565,204.8
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",43.11723,-77.67539,164.5
US1NYES0012,"SARANAC LAKE 2.7 SSE, NY US",44.291044,-74.104373,476.7
US1NYES0011,"VERMONTVILLE 2.8 S, NY US",44.41205,-74.0676,518.2
US1NYWN0006,"PALMYRA 1.6 NW, NY US",43.0795,-77.2526,151.8
USW00094725,"MASSENA INTERNATIONAL AIRPORT, NY US",44.93341,-74.84836,60.9
US1NYAB0056,"ALBANY 2.4 WNW, NY US",42.676178,-73.843644,84.1
US1NYSF0153,"DEER PARK 1.0 NE, NY US",40.773427,-73.311858,31.1
US1NYLW0009,"GLENFIELD 0.9 SSW, NY US",43.6996192932129,-75.4103775024414,297.8
US1NYAB0047,"DELMAR 1.0 S, NY US",42.61013,-73.83172,63.7
US1NYSF0034,"BAY SHORE 0.5 ESE, NY US",40.723405,-73.240982,1.2
US1NYLW0003,"CONSTABLEVILLE 1.2 NW, NY US",43.575447,-75.446434,501.7
US1NYLW0002,"HARRISVILLE 4.7 SSW, NY US",44.093611,-75.365278,285.9
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",43.0413,-73.82126,99.4
USC00306276,"ORIENT POINT STATE PARK, NY US",41.1321,-72.2584,0.9
USC00308577,"SYOSSET, NY US",40.8216,-73.4908,80.8
USC00309425,"WHITESVILLE 1 N, NY US",42.05983,-77.75539,661.4
USC00302454,"EAST SIDNEY, NY US",42.33278,-75.22982,352
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8
US1NYMR0026,"WEBSTER 3.2 W, NY US",43.209917,-77.485066,125
US1NYMR0023,"ROCHESTER 5.0 WNW, NY US",43.203563,-77.703112,131.1
US1NYSF0044,"SHIRLEY 2.9 N, NY US",40.8374,-72.866779,29.3
US1NYMR0021,"PITTSFORD 4.0 SSE, NY US",43.03498,-77.49449,169.8
US1NYAB0066,"ALTAMONT 3.5 NW, NY US",42.737857,-74.089385,253.9
US1NYSF0049,"SAYVILLE 1.0 SSE, NY US",40.732633,-73.080656,4.6
