airline,overall,traveller_type,cabin,route,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money
Turkish Airlines,10,Couple Leisure,Economy Class,Istanbul to Male,5,5,5,5,5,5
Turkish Airlines,10,Solo Leisure,Economy Class,Tel Aviv to Brussels via Istanbul,5,5,5,5,4,5
Turkish Airlines,7,Business,Economy Class,Baku to Istanbul,3,5,5,4,5,4
Turkish Airlines,1,Business,Business Class,Sao Paulo to Istanbul,3,1,1,2,4,1
Turkish Airlines,8,Business,Economy Class,Ä°stanbul to Frankfurt,4,4,4,4,4,4
Turkish Airlines,1,Business,Economy Class,Istanbul to Dushanbe,1,2,1,1,1,1
Turkish Airlines,10,Business,Business Class,Boston to Amsterdam via Istanbul,4,5,5,5,5,5
Turkish Airlines,8,Business,Economy Class,London to Istanbul,3,4,4,2,4,4
Turkish Airlines,1,Solo Leisure,Economy Class,Mumbai to Los Angeles via Istanbul,3,1,1,2,1,2
Turkish Airlines,1,Business,Business Class,Istanbul to Beirut,2,1,2,1,1,3
Turkish Airlines,1,Solo Leisure,Business Class,Kilaminjaro to Chicago via Istanbul,1,1,1,1,1,1
Turkish Airlines,10,Couple Leisure,Business Class,Stockholm to Bangkok via Istanbul,5,5,5,5,5,5
Turkish Airlines,1,Business,Business Class,Lahore to Frankfurt via Istanbul,1,1,1,1,1,1
Turkish Airlines,1,Family Leisure,Economy Class,Durban to Houston via Istanbul,3,3,3,3,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,New York to Thessaloniki via Istanbul,1,1,1,1,1,1
Turkish Airlines,3,Family Leisure,Economy Class,Cape Town to Sao Paulo via Istanbul,3,3,3,4,3,2
Turkish Airlines,1,Solo Leisure,Economy Class,New York to Istanbul via Skopje,4,4,3,3,1,3
Turkish Airlines,8,Solo Leisure,Economy Class,Riyadh to Manila via Istanbul,5,5,5,3,4,3
Turkish Airlines,2,Solo Leisure,Economy Class,Belgrade to Kiev via Istanbul,5,5,4,4,4,2
Turkish Airlines,1,Family Leisure,Economy Class,Atlanta to Addis Ababa via Istanbul,2,2,2,1,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Washington to Addis Ababa via Istanbul,1,1,1,1,1,1
Turkish Airlines,1,Business,Economy Class,Berlin to Erbil via Istanbul,3,3,2,3,1,2
Turkish Airlines,1,Family Leisure,Economy Class,London Gatwick to Tashkent via Istanbul,2,1,2,1,1,1
Turkish Airlines,4,Couple Leisure,Economy Class,Amsterdam to Abu Dhabi via Istanbul,3,1,3,3,1,3
Turkish Airlines,2,Family Leisure,Economy Class,Istanbul to Johannesburg,1,1,1,2,1,1
Turkish Airlines,10,Family Leisure,Business Class,Johannesburg to Istanbul,5,5,5,4,5,5
Turkish Airlines,1,Solo Leisure,Business Class,Taipei to Sao Paulo via Istanbul,2,1,1,2,1,1
Turkish Airlines,1,Family Leisure,Economy Class,Chicago to Athens via Istanbul,2,1,1,1,1,1
Turkish Airlines,6,Solo Leisure,Business Class,London to Bangkok via Istanbul,5,2,1,4,4,3
Turkish Airlines,4,Business,Economy Class,Vienna to Riyadh via Istanbul,2,4,4,3,1,2
Turkish Airlines,1,Family Leisure,Economy Class,Istanbul to Abuja,1,1,1,3,1,1
Turkish Airlines,1,Couple Leisure,Economy Class,Brussels to Istanbul via Beirut,3,2,3,3,1,1
Turkish Airlines,1,Solo Leisure,Economy Class,Paris to Dar es Salaam via Istanbul,1,2,2,1,1,1
Turkish Airlines,5,Business,Business Class,Vienna to San Francisco via Istanbul,4,5,4,3,2,3
Turkish Airlines,1,Solo Leisure,Economy Class,Istanbul to Los Angeles,2,1,2,3,1,1
Turkish Airlines,8,Business,Business Class,Istanbul to Baku,5,5,5,5,3,5
Turkish Airlines,4,Solo Leisure,Economy Class,Istanbul to Bangkok,3,3,4,3,3,3
Turkish Airlines,3,Solo Leisure,Economy Class,Toronto to Cairo via Istanbul,3,3,3,4,1,1
Turkish Airlines,3,Solo Leisure,Economy Class,Ankara to Frankfurt,3,2,2,3,2,3
Turkish Airlines,3,Business,Economy Class,FRA to ESB,3,4,3,1,3,4
Turkish Airlines,3,Couple Leisure,Economy Class,Ankara to Amsterdam via Istanbul,2,3,3,5,1,2
