airline,overall,traveller_type,cabin,route,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money
Emirates,7,Solo Leisure,Business Class,Sydney to Christchurch,5,4,3,4,3,5
Emirates,1,Business,Economy Class,Ahmedabad to Los Angeles via Dubai,1,1,1,2,1,1
Emirates,10,Solo Leisure,First Class,Johannesburg to Larnaca via Dubai,5,5,5,5,5,5
Emirates,3,Couple Leisure,Economy Class,Dubai to Sydney,3,1,1,3,4,3
Emirates,2,Couple Leisure,Economy Class,Munich to Bangkok via Dubai,3,2,3,4,1,2
Emirates,4,Couple Leisure,Business Class,Singapore to Melbourne,2,1,2,3,2,3
Emirates,4,Family Leisure,Business Class,London to Melbourne via Dubai,2,2,3,5,2,2
Emirates,5,Couple Leisure,Economy Class,Bangkok to Manchester via Dubai,4,4,5,3,3,3
Emirates,7,Solo Leisure,Business Class,Munich to Durban via Dubai,4,5,2,3,3,3
Emirates,6,Solo Leisure,Business Class,Brisbane to Dubai,3,3,3,4,4,3
Emirates,6,Business,Economy Class,Dubai to Taipei,1,3,1,4,3,2
Emirates,3,Solo Leisure,Economy Class,Singapore to Colombo,4,2,5,5,5,3
Emirates,10,Couple Leisure,Economy Class,Glasgow to Auckland via Dubai,4,5,5,5,5,5
Emirates,10,Solo Leisure,First Class,Madrid to Melbourne via Dubai,5,5,5,5,5,5
Emirates,7,Solo Leisure,Economy Class,Athens to Dubai,3,4,4,5,4,3
Emirates,8,Solo Leisure,Economy Class,Dubai to Dublin,4,5,4,5,4,3
Emirates,7,Solo Leisure,Economy Class,Bangkok to Dubai,4,4,3,5,3,3
Emirates,8,Solo Leisure,Economy Class,Melbourne to Singapore,4,4,4,5,3,3
Emirates,1,Couple Leisure,Economy Class,Bangalore to San Francisco via Dubai,1,1,1,1,1,1
Emirates,10,Solo Leisure,Business Class,Dubai to London Heathrow,5,5,5,5,4,5
Emirates,2,Business,Economy Class,Birmingham to Dubai,4,2,2,4,2,3
Emirates,9,Solo Leisure,First Class,Auckland to Sydney,5,4,4,5,3,5
Emirates,5,Family Leisure,Economy Class,Manchester to Dubai,3,4,3,4,1,3
Emirates,10,Family Leisure,Economy Class,Dubai to Hamburg,5,5,5,5,5,5
Emirates,1,Solo Leisure,Economy Class,Dubai to Singapore,2,1,1,2,1,1
Emirates,2,Couple Leisure,Business Class,Mauritius to London via Dubai,4,2,2,4,3,2
Emirates,10,Business,Business Class,Amsterdam to Tokyo Narita via Dubai,5,5,5,5,5,5
Emirates,9,Solo Leisure,Business Class,Malta to Larnaca,5,5,5,5,4,4
Emirates,8,Solo Leisure,Business Class,Auckland to Sydney,5,4,4,3,4,4
Emirates,1,Couple Leisure,Economy Class,Johannesburg to Newcastle via Dubai,2,1,2,2,2,2
Emirates,5,Solo Leisure,Economy Class,Chennai to Adelaide via Dubai,1,1,5,3,4,3
Emirates,9,Solo Leisure,Economy Class,Mumbai to Boston via Dubai,4,5,4,5,5,4
Emirates,9,Business,Business Class,Amsterdam to Muscat via Dubai,5,4,3,5,5,5
Emirates,10,Couple Leisure,Business Class,Melbourne to Singapore,5,5,5,5,5,4
Emirates,8,Business,Business Class,Paris to Bangkok via Dubai / Kuala Lumpur,5,3,4,5,3,3
Emirates,10,Couple Leisure,Economy Class,Taipei to Budapest via Dubai,5,5,5,5,4,5
Emirates,10,Family Leisure,Economy Class,Manchester to Dubai,5,5,4,5,4,5
Emirates,9,Solo Leisure,Economy Class,Khartoum to Rome via Dubai,4,4,4,5,4,5
Emirates,7,Business,Business Class,Kuala Lumpur to Milan via Dubai,3,3,3,4,3,4
Emirates,1,Solo Leisure,Economy Class,Dubai to Warsaw,4,1,3,3,1,1
Emirates,2,Couple Leisure,Economy Class,Sydney to Copenhagen via Dubai,4,4,3,4,1,3
Emirates,9,Business,Business Class,Brussels to Brisbane via Dubai,5,4,3,5,5,5
Emirates,5,Solo Leisure,Business Class,Bangkok to Paris CDG via Dubai,3,3,3,4,5,3
Emirates,4,Couple Leisure,Economy Class,Amsterdam to Bangalore via Dubai,5,4,2,5,1,3
Emirates,10,Solo Leisure,Economy Class,Gatwick to Perth via Dubai,5,5,5,5,5,5
Emirates,4,Solo Leisure,Business Class,Dubai to Bangkok,5,2,3,4,4,3
Emirates,5,Business,Business Class,Dusseldorf to Shanghai via Dubai,2,2,2,5,4,3
Emirates,2,Solo Leisure,Economy Class,Sydney to Amsterdam via Dubai,4,5,4,4,2,1
Emirates,9,Couple Leisure,Business Class,Dubai to DÃ¼sseldorf,5,5,5,5,3,5
Emirates,3,Solo Leisure,Economy Class,Bangkok to New York via Dubai,3,1,1,3,1,1
Emirates,10,Solo Leisure,Business Class,Hong Kong to Newcastle via Dubai,5,5,5,5,5,4
Emirates,2,Couple Leisure,Economy Class,Heathrow to Brisbane via Dubai,3,3,4,1,4,4
Emirates,8,Business,Economy Class,Bangalore to Budapest via Dubai,5,5,5,5,4,4
Emirates,4,Couple Leisure,Economy Class,Dubai to Lisbon,5,1,2,5,3,2
Emirates,10,Couple Leisure,Economy Class,Lisbon to Dubai,4,5,5,5,5,4
Emirates,8,Business,Economy Class,Delhi to Amsterdam via Dubai,4,4,5,5,4,5
Emirates,9,Solo Leisure,First Class,Hong Kong to Cairo via Dubai,5,5,5,5,5,4
Emirates,1,Solo Leisure,Business Class,CMB to LYS via DXB,3,3,3,4,1,1
Emirates,4,Couple Leisure,Economy Class,Cape Town to London via Dubai,1,2,2,2,2,3
Emirates,10,Couple Leisure,Business Class,Milan to New York JFK,5,5,5,5,5,4
Emirates,10,Solo Leisure,Economy Class,Hong Kong to Arla via Arlanda Sweden,4,5,5,5,5,5
Emirates,10,Couple Leisure,Business Class,Perth to Glasgow via Dubai,5,5,5,5,5,5
Emirates,5,Solo Leisure,Economy Class,Bangkok to Hong Kong,4,5,4,5,1,4
Emirates,10,Couple Leisure,First Class,Dublin to Tokyo via Dubai,5,5,5,5,5,5
Emirates,3,Couple Leisure,Economy Class,Seychelles to Lisbon via Dubai,4,4,3,3,1,3
Emirates,6,Family Leisure,Economy Class,LGW to ISB via DXB,5,3,3,5,4,4
Emirates,4,Couple Leisure,Business Class,Warsaw to Bangkok via Dubai,3,2,2,4,1,2
Emirates,9,Solo Leisure,First Class,Paris to Bangkok via Dubai,4,5,5,5,4,5
Emirates,5,Family Leisure,Business Class,Karachi to London via Dubai,5,2,1,5,5,1
Emirates,1,Family Leisure,Economy Class,Washington to Manila via Dubai,2,3,3,2,2,1
Emirates,3,Solo Leisure,Economy Class,Gatwick to Manila via Dubai,3,3,2,4,1,3
Emirates,10,Family Leisure,Business Class,Dubai to Manchester,5,5,5,5,4,5
Emirates,8,Couple Leisure,Business Class,Amsterdam to Bangkok via Dubai,4,4,1,4,2,4
Emirates,9,Business,Business Class,Taipei to London via Dubai,4,5,5,5,4,5
Emirates,10,Solo Leisure,Economy Class,Boston to Kuwait via Dubai,5,5,5,5,5,5
Emirates,1,Solo Leisure,Economy Class,Muscat to Bangkok via Glasgow,2,4,3,4,1,1
Emirates,7,Solo Leisure,Economy Class,Manchester to Jakarta via Dubai,4,2,1,5,4,4
Emirates,9,Solo Leisure,Economy Class,Beirut to Dubai,3,5,4,4,4,4
Emirates,6,Family Leisure,Economy Class,Los Angeles to Delhi via Dubai,2,4,3,4,1,3
Emirates,4,Business,Economy Class,Singapore to Melbourne,2,2,2,4,1,2
Emirates,10,Couple Leisure,Economy Class,Dubai to Dublin,4,5,4,5,4,5
Emirates,10,Family Leisure,Economy Class,Dubai to Brisbane,4,5,4,3,4,4
Emirates,7,Couple Leisure,Business Class,Dubai to Manchester,2,2,2,4,2,3
Emirates,6,Couple Leisure,Business Class,Phuket to Dubai,3,2,2,4,2,2
Emirates,10,Family Leisure,Economy Class,Hong Kong to Bangkok,5,5,5,5,5,5
Emirates,7,Business,Business Class,Hong Kong to Bangkok,4,4,4,4,5,5
Emirates,1,Family Leisure,Economy Class,Hong Kong to Dubai,2,1,1,3,1,1
Emirates,10,Couple Leisure,Economy Class,Munich to Beijing via Dubai,5,4,5,5,4,5
Emirates,6,Solo Leisure,Business Class,Larnaca to Malta,4,3,3,5,3,4
Emirates,1,Couple Leisure,Economy Class,New York to Male via Dubai,3,2,4,5,1,1
Emirates,4,Solo Leisure,Economy Class,Dublin to Singapore via Dubai,3,3,2,3,1,2
Emirates,5,Family Leisure,Economy Class,Dubai to London Heathrow,3,2,1,2,4,4
Emirates,9,Couple Leisure,Economy Class,Glasgow to Auckland via Dubai,4,5,5,5,4,5
Emirates,4,Solo Leisure,Economy Class,Newcastle to Bahrain via Dubai,3,3,3,5,2,4
Emirates,1,Solo Leisure,Economy Class,Seattle to Delhi via Dubai,3,4,4,3,3,1
Emirates,1,Family Leisure,Economy Class,London Heathrow to Dubai,1,1,1,3,1,1
Emirates,10,Solo Leisure,Economy Class,Dubai to Zurich,5,5,4,5,4,5
Emirates,8,Business,Economy Class,Colombo to Geneva via Dubai,5,5,5,5,5,5
Emirates,8,Couple Leisure,Business Class,Brisbane to London via Dubai,4,4,4,5,3,4
Emirates,7,Couple Leisure,Economy Class,Warsaw to Hanoi via Dubai,4,4,4,4,4,4
Emirates,2,Solo Leisure,Economy Class,Dubai to Manila,2,1,3,2,1,2
Emirates,10,Family Leisure,Economy Class,Rome to Dubai,5,4,5,5,4,5
Emirates,4,Couple Leisure,Business Class,Christchurch to Sydney,5,1,1,5,5,2
Emirates,7,Solo Leisure,Economy Class,Glasgow to Bangkok via Dubai,3,3,3,3,4,4
Emirates,3,Solo Leisure,Economy Class,Paris to Melbourne via Dubai,1,2,2,4,3,2
Emirates,2,Business,Business Class,Dubai to Beijing,1,2,2,3,2,2
Emirates,10,Solo Leisure,Economy Class,Zurich to Muscat via Dubai,5,5,5,5,4,5
Emirates,10,Solo Leisure,Business Class,Brisbane to Auckland,5,5,5,5,5,5
Emirates,8,Couple Leisure,Economy Class,London Heathrow to Dubai,5,3,5,5,3,5
Emirates,1,Solo Leisure,Business Class,Gatwick to Perth via Dubai,3,3,1,3,1,1
Emirates,7,Family Leisure,Economy Class,Jakarta to Jeddah via Dubai,3,2,3,4,4,4
Emirates,9,Couple Leisure,Business Class,RGN to MAN via DXB,5,5,3,5,5,5
Emirates,9,Business,Economy Class,DEL to LHR via DXB,4,4,4,5,4,5
Emirates,1,Couple Leisure,Economy Class,CPT to SYD via DXB,3,1,1,4,1,2
Emirates,5,Couple Leisure,Business Class,LGW to BNE via DXB,4,3,3,5,1,4
Emirates,2,Family Leisure,Economy Class,SAV to COK via DXB / JFK,3,4,3,4,1,3
Emirates,6,Solo Leisure,Economy Class,DXB to BOM,4,1,4,5,4,3
Emirates,1,Family Leisure,Economy Class,BHX to DXB,1,1,1,2,1,1
Emirates,9,Solo Leisure,Business Class,BKK to DXB,4,5,4,5,4,4
Emirates,3,Solo Leisure,Economy Class,HYD to LHR via DXB,3,4,3,4,3,3
Emirates,7,Solo Leisure,Economy Class,DUB to HKG via DXB,3,3,3,5,3,5
Emirates,9,Solo Leisure,First Class,LGW to PER via DXB,5,5,4,5,5,5
Emirates,1,Family Leisure,Economy Class,SEA to TRV via DXB,1,1,1,2,1,1
Emirates,1,Solo Leisure,Economy Class,LHR to MEL,4,4,1,3,1,1
Emirates,2,Solo Leisure,Economy Class,BKK to HKG,4,1,2,5,1,2
Emirates,1,Family Leisure,Economy Class,CDG to KUL via DXB,4,1,3,4,1,4
Emirates,1,Couple Leisure,Economy Class,MLE to BHX via DXB,1,1,2,4,1,2
Emirates,4,Couple Leisure,Economy Class,NCL to BKK via DXB,5,1,4,5,5,5
Emirates,7,Solo Leisure,Economy Class,BHX to BKK via DXB,4,5,3,5,2,4
Emirates,9,Couple Leisure,Business Class,BKK to LGW via DXB,5,5,5,5,5,5
Emirates,7,Family Leisure,Economy Class,ATH to CEB via DXB,3,4,4,5,5,4
Emirates,3,Solo Leisure,First Class,DXB to KWI,5,5,1,5,3,2
Emirates,6,Couple Leisure,Business Class,BOM to LHR via DXB,4,3,3,3,2,3
Emirates,5,Couple Leisure,Business Class,DXB to SGN,3,3,2,4,3,3
Emirates,2,Couple Leisure,Business Class,SFO to CCU via DXB,4,1,1,4,4,1
Emirates,4,Couple Leisure,Economy Class,JFK to MAA via DXB,3,2,2,1,3,4
Emirates,9,Solo Leisure,Economy Class,SIN to JFK via DXB,5,5,4,5,4,5
Emirates,7,Solo Leisure,Economy Class,LGW to BNE via DXB,4,2,5,5,4,5
Emirates,5,Couple Leisure,Economy Class,MAN to MEL via DXB,4,1,1,5,4,2
Emirates,9,Solo Leisure,Business Class,DXB to CAI,4,5,5,5,5,3
Emirates,7,Solo Leisure,Economy Class,LGW to BKK via DXB,4,5,3,2,3,4
Emirates,1,Couple Leisure,Business Class,DXB to BKK via HKG,2,1,2,3,3,2
Emirates,4,Couple Leisure,Economy Class,BOS to HYD via DXB,2,2,2,1,3,2
Emirates,9,Business,Economy Class,PRG to DXB,4,4,4,5,4,4
Emirates,5,Business,Business Class,MEL to LHE via DXB,3,3,2,4,3,3
Emirates,3,Couple Leisure,Business Class,LGW to MLE via DXB,4,2,1,3,4,1
Emirates,10,Family Leisure,Economy Class,LGW to DXB,5,5,5,5,5,5
Emirates,10,Couple Leisure,Economy Class,LGW to MRU via DXB,5,5,5,5,5,5
Emirates,8,Business,Business Class,DEL to GRU via DXB,4,4,4,5,5,5
Emirates,9,Business,Economy Class,DXB to DOH,4,5,4,5,5,5
Emirates,9,Business,Business Class,MAN to DXB,4,5,5,5,5,4
Emirates,7,Solo Leisure,Economy Class,FCO to BKK via DXB,4,3,4,4,4,3
Emirates,3,Couple Leisure,Economy Class,LHR to DXB,3,1,2,4,3,2
Emirates,5,Business,Economy Class,JFK to CAN via DXB,4,2,1,3,4,3
Emirates,9,Business,Business Class,MEL to AKL,5,5,5,5,4,4
Emirates,6,Solo Leisure,Economy Class,GLA to BKK via DXB,3,1,2,4,4,4
Emirates,9,Couple Leisure,Economy Class,DXB to LHR,4,4,4,5,4,5
Emirates,1,Business,Economy Class,MAN to DXB,1,1,2,5,3,3
Emirates,7,Business,Economy Class,SIN to LHR via SYD,4,4,3,1,3,4
Emirates,2,Family Leisure,Economy Class,LGW to DXB,4,1,1,5,3,2
Emirates,10,Solo Leisure,Economy Class,JFK to DOH,4,5,4,5,5,5
Emirates,2,Business,Economy Class,DXB to FRA,2,2,3,3,2,3
Emirates,5,Couple Leisure,Economy Class,MRU to FRA via DXB,5,1,1,5,4,3
Emirates,2,Family Leisure,Economy Class,HKG to BKK,1,1,1,2,1,2
Emirates,1,Couple Leisure,Economy Class,CDG to DXB,3,1,3,3,3,1
Emirates,4,Couple Leisure,Economy Class,LHR to CPT via DXB,1,1,1,1,3,1
Emirates,2,Couple Leisure,Economy Class,IAH to TRV via DXB,1,2,3,4,1,1
Emirates,1,Business,Business Class,DFW to BLR via DXB,1,4,3,2,4,1
Emirates,8,Solo Leisure,Economy Class,BKK to CDG via DXB,4,3,3,5,4,3
Emirates,1,Business,Business Class,CPT to DXB,3,1,1,2,5,1
Emirates,8,Couple Leisure,Economy Class,MAN to KUL via DXB,4,5,4,5,4,5
Emirates,10,Couple Leisure,Economy Class,NCE to ADL via DXB,5,5,5,5,5,5
Emirates,3,Couple Leisure,Economy Class,LHR to JNB via DXB,3,3,3,3,2,2
Emirates,6,Couple Leisure,Economy Class,LIS to BKK via DXB,2,3,3,5,3,3
Emirates,1,Solo Leisure,Business Class,IAD to DXB,4,1,4,3,1,1
Emirates,1,Family Leisure,Economy Class,BKK to HKG,3,2,1,4,2,4
Emirates,5,Couple Leisure,Economy Class,DXB to WAW,2,1,2,4,4,3
Emirates,9,Business,First Class,DXB to LHR,5,5,3,5,4,4
Emirates,9,Business,Business Class,IAD to DXB,5,5,3,5,4,3
Emirates,8,Business,Business Class,IAD to DXB,5,4,4,5,4,3
Emirates,8,Business,Business Class,BLR to SFO via DXB,5,5,4,5,5,4
Emirates,5,Business,Business Class,CAN to LHR via DXB,2,5,3,3,5,3
Emirates,9,Business,Business Class,BRU to SYD via DXB,5,4,4,5,5,5
Emirates,10,Solo Leisure,Economy Class,MXP to JFK,5,5,5,5,5,5
Emirates,9,Solo Leisure,Economy Class,LGW to DUR via DXB,4,4,4,4,4,4
Emirates,1,Solo Leisure,Economy Class,LHR to BNE via DXB,2,1,1,3,1,1
Emirates,9,Business,Economy Class,AKL to AMM via DXB,4,4,4,3,5,4
Emirates,8,Couple Leisure,Business Class,JNB to DXB,5,5,5,4,4,5
Emirates,5,Couple Leisure,Business Class,SIN to MEL,5,2,3,5,2,2
Emirates,9,Family Leisure,Economy Class,DUR to BRU via DXB,4,4,4,4,3,5
Emirates,7,Family Leisure,Business Class,DXB to JFK,4,5,5,5,1,3
Emirates,10,Solo Leisure,Business Class,BKK to BHX via DXB,4,5,5,5,4,4
Emirates,2,Business,Business Class,LGW to BLR via DXB,3,1,1,1,1,1
Emirates,10,Solo Leisure,Business Class,CDG to SYD via DXB,5,5,5,5,5,5
Emirates,6,Couple Leisure,Economy Class,DXB to PER,3,4,2,4,4,3
Emirates,2,Couple Leisure,Economy Class,GVA to TPE via DXB,4,2,4,4,1,2
Emirates,1,Family Leisure,Economy Class,CMB to SIN,2,1,4,4,4,1
Emirates,9,Solo Leisure,Economy Class,LGW to DXB,5,1,3,5,5,4
Emirates,8,Business,Business Class,DEL to GRU via DXB,4,4,5,5,4,5
Emirates,10,Solo Leisure,Economy Class,PEK to DXB,4,5,4,5,4,5
Emirates,9,Solo Leisure,Economy Class,MCO to DXB,4,5,5,5,4,5
Emirates,4,Solo Leisure,Economy Class,BCN to MNL via DXB,2,2,1,4,2,1
Emirates,9,Business,Business Class,KUL to DXB,5,5,5,5,5,4
Emirates,8,Solo Leisure,Business Class,TPE to AMS,5,5,4,5,5,4
Emirates,10,Solo Leisure,Business Class,DOH to BKK via DXB,5,5,5,4,5,5
Emirates,1,Family Leisure,Economy Class,JNB to JFK via DXB,3,3,3,4,3,1
Emirates,2,Couple Leisure,Business Class,MRU to DXB,4,1,1,5,5,2
Emirates,4,Couple Leisure,Economy Class,DXB to LHR,2,2,3,3,2,2
Emirates,10,Family Leisure,Business Class,MXP to JFK,5,5,5,5,5,5
Emirates,9,Family Leisure,Economy Class,MEL to KUL,4,5,3,5,4,5
Emirates,3,Couple Leisure,Economy Class,BKK to BHX via DXB,4,1,1,5,1,3
Emirates,8,Couple Leisure,Economy Class,JNB to ATH via DXB,4,4,4,4,4,4
Emirates,10,Solo Leisure,Economy Class,LAX to BEY via DXB,5,5,5,5,1,5
Emirates,9,Couple Leisure,Economy Class,WAW to BNE via DXB,4,5,5,5,3,4
Emirates,5,Business,First Class,BRU to DXB,2,2,1,3,4,1
Emirates,5,Business,Economy Class,MAN to NRT via DXB,2,2,4,4,3,2
Emirates,2,Couple Leisure,Business Class,PER to NCE via DXB,3,1,2,1,2,1
Emirates,6,Family Leisure,Business Class,MEL to KUL,1,1,2,5,3,3
Emirates,7,Family Leisure,Economy Class,MLE to LHR via DXB,3,3,2,4,2,2
Emirates,10,Family Leisure,Economy Class,DUS to MRU via DXB,4,5,5,5,4,5
Emirates,7,Business,Business Class,DXB to JFK,4,2,2,4,5,4
Emirates,2,Couple Leisure,Economy Class,BHX to CMB via DXB,1,1,2,3,1,1
Emirates,7,Couple Leisure,Business Class,MXP to JFK,4,3,4,4,5,4
Emirates,10,Solo Leisure,First Class,CPT to LHR via DXB,5,5,5,4,5,5
Emirates,9,Family Leisure,Economy Class,CMB to HAM via DXB,4,4,5,5,5,5
Emirates,5,Solo Leisure,Business Class,GIG to EZE,3,4,2,2,2,3
Emirates,2,Solo Leisure,Economy Class,JNB to HKG via DXB,3,3,3,3,1,1
Emirates,10,Family Leisure,Economy Class,MRU to JED via DXB,5,5,5,5,5,5
Emirates,8,Couple Leisure,Business Class,DXB to BKK,5,3,2,5,4,4
Emirates,7,Family Leisure,Economy Class,LHR to DAC via DXB,5,5,3,4,5,4
Emirates,8,Business,Economy Class,DXB to JED,4,4,4,5,3,3
Emirates,1,Couple Leisure,Business Class,SIN to GLA via DXB,1,1,2,2,1,1
Emirates,5,Family Leisure,Economy Class,JFK to MNL via DXB,2,3,4,4,1,3
Emirates,7,Couple Leisure,Business Class,DXB to AKL via MEL,3,5,5,4,3,5
Emirates,4,Couple Leisure,Economy Class,AMS to DAR via DXB,4,1,2,4,1,2
Emirates,9,Solo Leisure,Business Class,LHR to BKK via DXB,5,5,5,4,5,4
Emirates,2,Business,Economy Class,Manchester to Dubai,3,1,1,4,1,3
Emirates,1,Solo Leisure,Business Class,LGW to BNE via DXB,4,3,1,2,1,1
Emirates,5,Family Leisure,Economy Class,ARN to MNL,3,1,3,5,4,4
Emirates,3,Solo Leisure,Economy Class,BOM to AMS via DXB,3,1,4,5,1,3
Emirates,2,Solo Leisure,Economy Class,LGW to CCU via DXB,3,3,2,3,1,2
Emirates,4,Solo Leisure,Economy Class,DXB to NRT,1,2,1,4,2,1
Emirates,2,Business,Business Class,DUB to MNL via DXB,1,2,1,1,1,1
Emirates,10,Solo Leisure,First Class,EZE to DXB via GIG,5,5,5,5,5,5
Emirates,10,Solo Leisure,Business Class,MAN to DXB,4,5,5,5,5,5
Emirates,8,Couple Leisure,Business Class,MAN to DXB,3,4,3,4,4,4
Emirates,3,Couple Leisure,Economy Class,FCO to TPE via DXB,4,1,1,4,3,3
Emirates,9,Family Leisure,Business Class,CHC to SYD,5,4,4,5,5,5
Emirates,8,Business,Business Class,DXB to BKK,3,5,2,4,5,3
Emirates,3,Business,Business Class,BKK to NCL via DXB,3,3,3,4,2,2
Emirates,2,Family Leisure,Economy Class,LHR to PER via DXB,3,4,1,4,5,2
Emirates,10,Couple Leisure,Business Class,MAN to KUL via DXB,5,5,5,5,5,5
Emirates,1,Family Leisure,Economy Class,MNL to IAD via DXB,3,1,3,3,1,1
Emirates,8,Family Leisure,Economy Class,MCT to SIN via DXB,5,4,4,5,4,5
Emirates,10,Solo Leisure,First Class,DUB to BNE via DXB,5,5,5,5,4,5
Emirates,10,Couple Leisure,Business Class,DXB to PER,5,5,5,5,5,5
Emirates,10,Solo Leisure,Economy Class,ZRH to DXB,5,5,5,5,5,5
Emirates,9,Solo Leisure,First Class,SYD to DXB,5,5,4,5,5,5
Emirates,9,Solo Leisure,Economy Class,DOH to CMB via DXB/MLE,5,5,5,5,3,5
Emirates,8,Business,Business Class,DEL to LHR via DXB,4,4,4,5,4,4
Emirates,9,Solo Leisure,Economy Class,CPH to ITM via DXB,4,5,5,4,5,5
Emirates,6,Solo Leisure,Economy Class,DXB to MLA via TUN,2,2,2,2,2,2
Emirates,10,Family Leisure,Economy Class,AKL to BNE,4,5,5,5,5,5
Emirates,9,Family Leisure,Economy Class,SYD to MUC via DXB,4,5,4,5,4,4
Emirates,9,Business,Business Class,CDG to DXB,5,5,5,5,3,4
Emirates,4,Family Leisure,Economy Class,SIN to BNE,2,1,3,2,4,3
Emirates,10,Couple Leisure,Economy Class,DMM to YYZ via DXB,5,4,5,5,4,5
Emirates,9,Solo Leisure,Economy Class,FRA to AKL via DXB,4,3,4,5,4,5
Emirates,9,Solo Leisure,Economy Class,JFK to NBO via DXB,4,3,4,5,5,5
Emirates,10,Solo Leisure,Economy Class,KUL to DUB via DXB,5,5,5,5,5,5
Emirates,9,Solo Leisure,Business Class,DXB to MAN,5,4,3,5,5,5
Emirates,10,Solo Leisure,Economy Class,MAN to MRU via DXB,5,5,5,5,5,5
Emirates,8,Family Leisure,Business Class,PER to PRG via DXB,4,5,5,5,4,4
Emirates,8,Business,First Class,AMS to DXB,5,2,4,5,3,4
Emirates,10,Family Leisure,Business Class,LHR to DXB,4,5,5,5,5,5
Emirates,4,Solo Leisure,Economy Class,BCN to SYD via DXB,4,1,2,5,5,3
Emirates,5,Couple Leisure,Business Class,MAN to DXB,5,2,2,4,4,3
Emirates,9,Family Leisure,Economy Class,MEL to SIN,5,5,5,5,5,5
Emirates,9,Couple Leisure,Economy Class,LUN to PEK via DXB,4,5,4,5,5,5
Emirates,7,Solo Leisure,Economy Class,BKK to LHR via DXB,3,4,4,3,2,4
Emirates,1,Family Leisure,Business Class,PER to MUC via DXB,3,4,1,3,1,1
Emirates,9,Couple Leisure,Economy Class,OSL to JNB via DXB,5,5,5,5,5,5
Emirates,7,Family Leisure,Economy Class,KUL to DXB to CMN,4,4,3,4,4,4
Emirates,3,Business,Business Class,BKK to HKG,3,1,3,4,2,2
Emirates,1,Family Leisure,Economy Class,DXB to LHR,3,1,3,4,3,1
Emirates,8,Business,Economy Class,JFK to DXB,3,5,5,5,3,5
Emirates,8,Couple Leisure,Business Class,BCN to DXB,4,3,3,4,4,4
Emirates,7,Solo Leisure,Business Class,BKK to HKG,4,3,4,5,4,5
Emirates,7,Solo Leisure,Business Class,LGW to BKK,4,3,4,5,4,4
Emirates,6,Business,Business Class,DXB to PVG,4,2,4,5,1,3
Emirates,8,Couple Leisure,Economy Class,MAN to MRU via DXB,4,3,3,3,3,3
Emirates,10,Couple Leisure,Economy Class,DXB to LIS,2,5,5,2,5,5
Emirates,10,Couple Leisure,Economy Class,LIS to DXB,4,5,5,5,5,5
Emirates,3,Business,Economy Class,MCT to JFK via DXB,3,3,4,4,1,3
Emirates,6,Solo Leisure,Economy Class,MRU to CAN via DXB,3,4,3,3,1,3
Emirates,2,Business,Business Class,BHX to ADL via DXB,1,1,1,2,2,1
Emirates,1,Couple Leisure,Economy Class,IST to BKK via DXB,1,1,3,5,1,1
Emirates,10,Solo Leisure,Business Class,LGW to MRU via DXB,5,5,5,5,5,5
Emirates,8,Couple Leisure,Economy Class,MAN to BKK via DXB,4,5,4,5,4,4
Emirates,1,Family Leisure,Economy Class,DXB to HKG via BKK,1,2,1,2,1,1
Emirates,8,Solo Leisure,Economy Class,AMS to SIN via DXB,4,4,5,5,3,5
Emirates,6,Couple Leisure,Economy Class,BNE to ARN via DXB,2,2,1,5,3,4
Emirates,10,Couple Leisure,Economy Class,LHR to SYD via DXB,5,5,5,5,5,5
Emirates,1,Solo Leisure,Economy Class,HND to CDG via DXB,3,3,3,4,1,1
Emirates,1,Solo Leisure,Economy Class,YYZ to TRV via DXB,4,2,3,4,1,2
Emirates,10,Solo Leisure,Business Class,HKG to MAD via DXB,4,5,5,5,5,5
Emirates,8,Family Leisure,Economy Class,BHX to BKK via DXB,4,3,4,5,3,5
Emirates,10,Family Leisure,Business Class,LGW to HKT via DXB,5,5,5,5,3,4
Emirates,5,Solo Leisure,Economy Class,BOS to BKK via DXB,3,2,2,4,4,4
Emirates,1,Family Leisure,Economy Class,ADL to DEL via DXB,1,1,2,1,1,1
Emirates,1,Couple Leisure,Economy Class,LHR to KWI via DXB,4,1,5,5,1,1
Emirates,7,Solo Leisure,Business Class,MEL to CMB via SIN,4,4,2,4,4,4
Emirates,9,Couple Leisure,Business Class,MAN to JNB via DXB,5,5,5,5,5,5
Emirates,10,Business,Business Class,HKG to BKK,5,5,5,5,5,5
Emirates,7,Family Leisure,Economy Class,BNE to LHR via DXB,3,4,3,5,3,4
Emirates,10,Couple Leisure,Business Class,LHR to PER via DXB,5,5,5,5,5,5
Emirates,9,Business,Business Class,SYD to AKL,5,5,4,3,5,4
Emirates,9,Solo Leisure,Business Class,MXP to JFK,4,5,4,4,4,4
Emirates,10,Couple Leisure,Business Class,KUL to MEL,5,5,5,4,5,4
Emirates,3,Solo Leisure,Economy Class,LHR to DAC via DXB,1,1,1,1,1,3
Emirates,4,Solo Leisure,Economy Class,LHR to MEL via DXB,2,3,2,5,5,4
Emirates,7,Solo Leisure,Economy Class,CMN to CMB via DXB/MLE,5,3,5,5,4,4
Emirates,10,Solo Leisure,Economy Class,SIN to DXB,5,5,4,5,5,5
