id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
27299275,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27301019,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27301758,1,0,0,2018-08-13,2018-08-13,0,NA,NA,NA,NA,NA,NA,0.02
27308432,69,3,0,2018-09-24,2021-11-03,4.99,4.99,5,4.97,5,4.99,4.91,1.77
27312147,4,0,0,2018-10-03,2020-03-15,4.5,4.75,4,5,5,5,4.5,0.1
27312914,81,32,0,2018-10-06,2021-10-31,4.94,4.96,4.98,4.94,4.89,4.8,4.79,2.1
27314038,2,0,0,2019-01-01,2019-10-01,3,3,3,3,3,2.5,2.5,0.06
27314650,85,37,2,2018-08-06,2021-11-15,4.84,4.92,4.89,4.89,4.87,4.74,4.71,2.09
27326744,51,2,0,2018-10-19,2021-10-11,4.8,4.88,4.65,4.84,4.88,4.71,4.75,1.34
27328415,3,0,0,2018-08-11,2019-08-14,4.67,5,5,5,5,4.67,5,0.07
27329048,4,0,0,2019-02-27,2020-03-29,5,4.75,5,5,4.75,5,4.75,0.12
27329928,9,4,1,2019-01-05,2021-11-07,4.89,4.89,4.89,5,4.89,5,4.67,0.25
27332332,57,0,0,2018-10-09,2020-08-12,4.7,4.82,4.95,4.82,4.95,4.75,4.75,1.48
27333008,5,0,0,2019-10-20,2020-03-23,5,4.8,5,5,5,5,5,0.19
27333579,5,0,0,2019-05-24,2019-11-03,5,5,4.6,5,5,5,4.8,0.16
27334148,4,0,0,2018-12-15,2018-11-26,5,5,5,5,5,4.67,5,0.11
27336179,18,3,0,2020-01-31,2021-09-30,5,5,4.67,5,5,4.89,4.89,0.8
27338033,39,0,0,2018-09-22,2019-07-29,4.59,4.69,4.64,4.77,4.33,4.59,4.67,1
27338569,39,7,3,2018-11-01,2021-11-27,4.95,4.95,4.85,4.97,4.97,4.67,4.97,1.03
27341015,2,0,0,2019-09-22,2019-11-03,4.5,5,5,5,5,5,4.5,0.07
27341858,1,0,0,2019-07-07,2019-07-07,5,4,5,5,5,5,5,0.03
27343189,93,25,2,2018-09-29,2021-11-21,4.76,4.84,4.85,4.95,4.87,4.74,4.8,2.4
27357537,5,0,0,2018-08-24,2019-07-21,4,4.2,3.8,4.4,4.2,4.8,4,0.13
27359696,33,3,0,2018-09-27,2021-04-04,4.73,4.88,4.79,5,4.94,4.36,4.82,0.85
27359897,53,12,2,2018-09-29,2021-11-27,4.77,4.87,4.77,4.91,4.92,4.26,4.83,1.37
27361805,2,0,0,2018-08-27,2018-08-11,5,5,4.5,4.5,5,5,5,0.05
27362309,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27362417,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27363454,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27366401,51,10,1,2018-10-28,2021-11-13,4.9,4.94,4.92,4.73,4.82,4.98,4.86,1.35
27369599,8,0,0,2019-05-15,2019-10-22,4.5,4.5,4.38,4.38,4.38,4.5,4.5,0.26
27371581,66,40,1,2020-08-12,2021-11-27,4.91,4.89,4.83,5,4.98,4.88,4.88,4.12
27373231,82,28,0,2019-06-03,2021-09-26,4.99,5,5,4.99,5,4.9,4.89,2.68
27375052,77,20,3,2019-07-07,2021-12-02,4.77,4.82,4.6,4.91,4.97,4.77,4.71,2.62
27375467,105,27,2,2018-11-20,2021-11-13,4.91,4.92,4.92,4.91,4.9,4.98,4.86,2.83
27380062,2,0,0,2018-08-09,2018-12-30,5,5,4.5,5,5,5,5,0.05
27384626,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27385411,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
