id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
2595,48,0,0,2009-11-21,2019-11-04,4.7,4.72,4.62,4.76,4.79,4.86,4.41,0.33
3831,409,32,0,2015-01-05,2021-10-22,4.45,4.58,4.49,4.78,4.8,4.71,4.64,4.86
5121,50,0,0,2014-01-22,2016-06-05,4.52,4.22,4.09,4.91,4.91,4.47,4.52,0.52
5136,2,1,0,2014-01-02,2021-08-08,5,5,5,5,5,4.5,5,0.02
5178,507,33,2,2010-08-18,2021-11-08,4.21,4.21,3.73,4.66,4.42,4.87,4.36,3.68
5203,118,0,0,2010-10-09,2017-07-12,4.91,4.83,4.82,4.97,4.95,4.94,4.92,0.87
5803,204,23,2,2010-07-29,2021-11-23,4.7,4.71,4.61,4.79,4.82,4.87,4.73,1.48
6848,181,1,0,2009-12-04,2021-08-10,4.56,4.59,4.86,4.84,4.8,4.67,4.57,1.24
6872,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6990,234,1,0,2011-05-12,2021-07-04,4.88,4.81,4.96,4.96,4.95,4.84,4.84,1.82
7064,9,0,0,2011-08-09,2015-08-31,4.86,5,4.86,5,5,5,5,0.07
7097,280,42,3,2014-05-24,2021-11-27,4.87,4.89,4.9,4.96,4.91,4.93,4.78,3.05
7750,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7801,9,0,0,2009-08-09,2011-12-28,4.86,4.6,4.4,4.8,4.6,5,4.8,0.06
8490,139,21,0,2012-03-05,2021-10-24,4.76,4.85,4.74,4.89,4.87,4.61,4.75,1.17
9357,58,0,0,2013-04-08,2017-08-13,4.52,4.68,4.16,4.97,5,4.95,4.58,0.55
9657,43,8,0,2017-03-21,2021-10-02,4.7,4.87,4.45,4.89,4.84,4.87,4.34,0.75
9704,98,0,0,2016-01-06,2020-03-14,4.89,4.91,4.73,4.91,4.84,4.84,4.9,1.36
10452,77,2,0,2012-04-17,2021-04-01,4.66,4.48,4.6,4.72,4.85,4.34,4.63,0.66
10962,195,14,1,2014-05-23,2021-10-11,4.74,4.76,4.61,4.85,4.77,4.88,4.75,2.12
11943,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12192,267,2,2,2010-12-07,2021-11-21,4.39,4.57,4.03,4.8,4.85,4.7,4.55,1.99
12343,107,0,0,2010-10-13,2019-07-09,4.81,4.82,4.69,4.97,4.9,4.51,4.7,0.79
12937,310,28,2,2013-11-03,2021-11-21,4.9,4.91,4.9,4.9,4.9,4.88,4.84,3.15
12940,72,5,0,2015-10-27,2021-08-31,4.49,4.59,4.39,4.7,4.52,4.02,4.35,0.97
13121,70,5,0,2014-10-04,2021-09-06,4.14,4.33,4.68,4.38,4.26,3.59,4.2,0.8
13808,155,14,1,2011-10-27,2021-08-09,4.68,4.75,4.45,4.9,4.86,4.5,4.72,1.26
14290,121,17,1,2017-05-01,2021-11-13,4.75,4.83,4.58,4.71,4.61,4.77,4.75,2.16
14314,179,0,0,2014-08-21,2020-03-14,4.82,4.88,4.91,4.91,4.93,4.8,4.78,2.02
14434,59,1,0,2013-03-26,2015-07-31,4.55,4.37,3.91,4.85,4.77,4.15,4.45,0.56
15220,346,21,2,2011-07-31,2021-11-08,4.63,4.77,4.74,4.81,4.79,4.88,4.68,2.75
15341,27,1,0,2018-08-19,2021-10-31,4.58,4.67,4.48,5,4.81,4.7,4.48,0.67
15385,49,0,0,2011-08-24,2020-01-01,4.85,4.79,4.79,4.83,4.83,4.83,4.64,0.39
15396,5,0,0,2016-04-05,2016-10-18,5,4.8,4.8,5,5,4.8,4.8,0.07
15711,84,0,0,2010-09-21,2020-07-08,4.68,4.61,4.45,4.55,4.53,4.7,4.59,0.62
16326,154,3,1,2011-10-30,2021-09-11,4.93,4.95,4.93,4.98,4.98,4.85,4.89,1.25
16338,29,1,0,2015-01-18,2021-02-28,4.6,4.64,4.32,4.81,4.77,4.69,4.58,0.35
16580,429,9,1,2014-10-19,2021-11-06,4.78,4.82,4.75,4.79,4.76,4.72,4.69,4.94
16595,212,30,2,2010-12-07,2021-11-21,4.74,4.88,4.75,4.92,4.92,4.72,4.47,1.58
16821,137,18,1,2015-07-08,2021-10-22,4.66,4.75,4.37,4.75,4.87,4.9,4.62,1.75
16974,233,19,2,2011-07-27,2021-10-29,4.83,4.9,4.73,4.96,4.93,4.41,4.76,1.85
17037,53,0,0,2012-07-18,2018-05-14,4.8,4.74,4.9,4.98,4.98,4.56,4.55,0.46
17693,60,0,0,2017-04-20,2019-12-08,4.9,4.9,4.8,4.93,4.92,4.83,4.88,1.06
18127,21,0,0,2010-09-17,2018-08-28,4.84,5,4.88,4.88,4.94,4.88,4.76,0.15
18152,148,0,0,2012-11-09,2019-08-03,4.41,4.38,4.26,4.82,4.76,4.71,4.47,1.34
18728,200,16,1,2013-06-08,2021-11-17,4.95,4.95,4.96,4.98,4.98,5,4.93,1.93
18961,1,0,0,2016-03-22,2016-03-22,5,5,3,5,5,5,5,0.01
19159,58,0,0,2011-10-08,2020-09-01,4.71,4.88,4.8,4.76,4.82,4.25,4.69,0.47
19282,17,0,0,2012-07-27,2019-07-20,4.69,4.85,4.79,4.86,4.79,4.57,4.71,0.15
19812,61,0,0,2013-10-06,2018-07-29,4.49,4.65,3.53,4.65,4.68,4.98,4.41,0.61
20717,47,2,0,2015-10-10,2021-03-31,4.89,4.96,4.87,4.96,4.85,4.98,4.91,0.63
20724,31,0,0,2017-10-08,2020-11-24,4.34,4.62,3.86,4.34,4.24,4.52,4.52,0.61
20913,168,0,0,2013-04-30,2018-07-22,4.05,4.26,3.69,4.59,4.39,4.4,4.16,1.6
21456,85,2,0,2016-07-18,2021-09-12,4.69,4.79,4.57,4.93,4.91,4.76,4.76,1.3
21644,3,0,0,2018-10-09,2019-10-21,5,5,5,5,4.67,5,4.33,0.08
21794,36,0,0,2016-01-05,2019-08-31,4.97,4.97,4.8,5,5,5,4.91,0.5
23135,274,15,2,2013-11-08,2021-11-21,4.69,4.83,4.87,4.82,4.72,4.64,4.68,2.79
23686,52,3,0,2013-06-30,2021-08-21,4.43,4.71,4.27,4.49,4.76,4.98,4.56,0.51
24285,91,3,0,2011-10-18,2021-10-12,4.82,4.77,4.93,4.95,4.77,4.77,4.85,0.74
25406,29,0,0,2015-04-23,2018-05-26,4.62,4.76,4.45,4.97,4.97,4.79,4.72,0.36
25696,190,0,0,2014-08-30,2020-01-01,4.75,4.85,4.67,4.92,4.88,4.65,4.73,2.15
26362,415,41,2,2012-07-19,2021-11-08,4.53,4.62,4.69,4.84,4.82,4.84,4.64,3.63
26785,476,4,0,2012-04-16,2021-08-17,4.93,4.95,4.96,4.98,4.98,4.89,4.91,4.06
27006,28,0,0,2015-09-01,2018-06-22,4.6,4.47,4.47,4.8,4.87,4.87,4.4,0.37
27644,217,9,2,2011-10-26,2021-11-28,4.77,4.76,4.87,4.91,4.89,4.64,4.72,1.76
27883,25,0,0,2011-09-28,2011-11-21,4.85,4.63,4.79,5,4.89,4.79,4.74,0.2
28321,9,0,0,2010-05-17,2018-10-05,4.14,4.17,3.83,4.33,4.33,4.67,4.17,0.06
28907,21,0,0,2013-08-27,2017-05-26,4.95,4.94,5,4.88,4.88,4.94,4.88,0.21
29013,68,4,0,2012-06-08,2021-10-18,4.68,4.32,4.56,4.76,4.67,4.37,4.51,0.59
29628,293,11,0,2012-05-24,2021-11-02,4.92,4.92,4.94,4.98,4.98,4.83,4.91,2.52
29683,117,6,0,2013-06-21,2021-10-10,4.76,4.85,4.83,4.82,4.92,4.89,4.62,1.14
31130,68,2,0,2018-12-15,2021-10-01,4.87,4.83,4.9,4.95,4.95,5,4.83,1.88
31555,32,1,0,2011-04-19,2021-03-27,4.71,4.79,4.41,4.9,4.97,4.93,4.69,0.25
31902,4,0,0,2010-06-15,2019-08-26,4.33,4,4,4.33,4.33,4.33,4.33,0.03
31994,497,28,2,2013-11-04,2021-11-12,4.49,4.66,4.41,4.73,4.73,4.72,4.57,5.05
32037,92,0,0,2014-10-14,2019-10-20,4.84,4.76,4.85,4.92,4.97,4.83,4.72,1.06
32329,3,0,0,2014-11-04,2012-09-01,5,5,5,5,5,5,5,0.03
33009,274,19,1,2013-12-10,2021-11-21,4.95,4.96,4.98,4.98,4.98,4.96,4.9,2.82
33014,34,0,0,2013-04-29,2019-08-15,4.41,4.24,4.45,4.41,4.34,4.66,4.59,0.32
33156,20,0,0,2014-06-07,2020-10-14,5,5,5,5,5,5,5,0.22
36442,4,0,0,2014-08-25,2018-01-01,3.5,4,4,3.67,4.67,3.67,3.33,0.05
36647,35,1,0,2016-01-21,2021-11-02,4.76,4.83,4.86,4.86,4.79,4.31,4.69,0.49
36703,136,0,0,2013-03-25,2019-03-31,4.91,4.89,4.9,4.88,4.89,4.98,4.76,1.28
38663,29,6,1,2013-04-26,2021-11-27,4.67,4.8,4.58,4.84,4.81,4.88,4.62,0.28
39282,234,11,0,2013-09-20,2021-10-31,4.8,4.81,4.58,4.93,4.87,4.85,4.76,2.34
39572,44,0,0,2011-09-27,2018-08-04,4.86,4.93,4.83,4.98,5,4.98,4.86,0.35
39593,29,0,0,2011-09-25,2019-04-12,4.91,4.86,4.91,4.95,4.95,4.73,4.91,0.23
39704,337,0,0,2011-05-03,2019-12-12,4.71,4.86,4.82,4.89,4.92,4.38,4.72,2.61
42300,63,6,0,2012-12-11,2021-08-22,4.76,4.64,4.67,4.83,4.83,4.6,4.56,0.58
42729,173,4,1,2013-04-14,2021-11-16,4.61,4.76,4.77,4.72,4.69,4.54,4.6,1.64
42882,176,0,0,2013-06-06,2019-11-03,4.8,4.82,4.45,4.94,4.92,4.52,4.75,1.7
43726,13,1,0,2020-01-04,2020-12-29,4.85,4.85,4.62,5,5,5,4.77,0.56
44096,293,16,3,2011-06-19,2021-11-22,4.89,4.95,4.84,4.96,4.98,4.54,4.89,2.3
44229,231,0,0,2014-09-24,2019-12-12,4.69,4.85,4.82,4.83,4.72,4.83,4.72,2.63
44288,88,1,0,2013-07-25,2020-12-07,4.75,4.74,4.68,4.89,4.94,4.98,4.65,0.86
44461,49,1,0,2010-09-20,2021-09-28,4.84,4.81,4.84,4.97,4.89,4.19,4.65,0.36
44973,123,2,0,2012-05-27,2021-08-31,4.63,4.83,4.71,4.86,4.93,4.53,4.69,1.06
45542,18,0,0,2018-10-19,2018-12-13,4.78,4.83,4.56,5,4.83,4.44,4.67,0.47
45556,293,40,0,2014-10-22,2021-11-02,4.89,4.94,4.91,4.95,4.99,4.97,4.83,3.38
45737,24,1,0,2010-10-20,2021-10-10,4.33,4.37,3.95,4.84,4.58,4.89,4.42,0.18
45910,13,0,0,2019-10-29,2019-11-12,4.42,4.64,4.36,4.82,5,4.82,4.55,0.51
45935,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45936,131,2,0,2011-11-03,2019-12-14,4.65,4.6,4.49,4.86,4.87,4.88,4.61,1.07
46544,58,0,0,2013-04-13,2020-03-18,4.7,4.8,4.35,4.84,4.94,4.88,4.69,0.55
46911,58,7,0,2013-01-03,2021-10-09,4.69,4.77,4.62,4.79,4.83,4.77,4.61,0.53
47613,28,0,0,2010-11-16,2013-11-04,4.76,4.75,4.75,4.75,4.83,4.5,4.67,0.21
49048,21,1,0,2014-11-02,2021-08-02,4.3,4.15,4.05,4,4.15,4.2,4.15,0.24
50447,202,26,4,2013-01-08,2021-11-27,4.83,4.73,4.78,4.91,4.9,4.89,4.81,1.86
51438,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51850,53,0,0,2010-10-09,2019-09-03,4.42,4.47,4.7,4.5,4.48,3.88,4.38,0.39
52689,14,10,2,2021-10-05,2021-11-09,4.93,5,4.86,5,4.93,4.93,5,6.77
53469,33,0,0,2012-05-28,2015-03-09,4.34,4.41,4.3,4.59,4.78,4.44,4.35,0.28
53470,6,0,0,2011-10-22,2015-10-08,4,4.75,4.25,4.5,5,4.25,4.25,0.05
53477,16,0,0,2019-04-20,2016-07-24,4.71,4.5,4.44,4.81,4.63,4.69,4.44,0.5
54466,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54508,117,23,2,2011-09-14,2021-12-03,4.69,4.86,4.68,4.91,4.89,4.95,4.85,0.94
54626,196,15,3,2013-08-30,2021-10-03,4.89,4.9,4.85,4.97,4.97,4.62,4.84,1.95
54694,62,0,0,2010-10-13,2017-10-08,4.35,4.6,4.85,4.55,4.45,3.91,4.45,0.46
54860,246,18,2,2013-01-06,2021-11-22,4.85,4.89,4.88,4.97,4.88,4.48,4.81,2.27
55982,38,1,1,2018-05-10,2021-11-13,4.79,4.76,4.79,5,4.97,4.85,4.74,0.87
56859,218,10,1,2011-11-02,2021-11-02,4.65,4.73,4.57,4.67,4.74,4.48,4.64,1.77
57166,74,35,2,2016-05-17,2021-11-29,4.8,4.89,4.77,4.96,4.91,4.91,4.8,1.09
57297,248,6,2,2014-10-23,2021-11-13,4.69,4.83,4.81,4.95,4.94,4.89,4.62,2.86
57618,116,7,0,2014-07-31,2021-09-20,4.82,4.89,4.74,4.92,4.94,4.88,4.66,1.3
57754,147,23,2,2014-10-26,2021-11-08,4.98,4.99,4.97,4.97,5,4.97,4.91,1.7
57874,296,32,3,2012-06-03,2021-11-18,4.85,4.92,4.94,4.9,4.92,4.56,4.8,2.56
58059,578,56,3,2011-12-14,2021-11-02,4.7,4.67,4.73,4.74,4.81,4.65,4.7,4.76
58062,25,0,0,2019-05-17,2020-02-16,4.72,4.72,4.64,4.76,4.76,4.84,4.8,0.8
59014,57,0,0,2012-09-24,2020-02-18,4.65,4.82,4.67,4.85,4.98,4.69,4.6,0.51
59121,2,0,0,2012-09-17,2019-11-01,5,4.5,5,5,5,5,5,0.02
59709,34,10,0,2015-04-12,2021-10-31,4.71,4.82,4.44,4.85,4.97,4.65,4.62,0.42
60164,107,1,0,2016-03-29,2021-09-12,4.37,4.55,4.15,4.52,4.58,4.5,4.21,1.54
60181,37,0,0,2016-07-12,2018-09-04,4.79,4.91,4.65,4.97,4.94,4.85,4.71,0.56
60457,10,0,0,2011-11-01,2019-07-31,4.88,4.71,4.29,4.86,5,5,4.71,0.08
60666,219,3,0,2011-10-01,2021-08-23,4.72,4.75,4.67,4.68,4.71,4.45,4.63,1.77
60673,3,0,0,2019-10-20,2019-10-15,5,4.67,4.67,5,5,4.67,4.67,0.12
60680,163,0,0,2012-04-17,2020-11-23,4.53,4.68,4.37,4.81,4.84,4.83,4.42,1.39
60794,4,0,0,2011-09-12,2017-08-25,5,5,4.75,4.5,5,5,5,0.03
61509,92,0,0,2011-11-17,2019-03-02,4.23,4.43,4.05,4.53,4.52,4.84,4.41,0.75
62427,61,0,0,2012-04-18,2019-10-27,4.82,4.85,4.88,4.75,4.97,4.98,4.78,0.52
62468,30,0,0,2011-06-22,2018-08-11,4.81,4.62,4.41,4.93,4.9,4.86,4.72,0.24
62891,206,8,0,2011-04-08,2021-08-22,4.3,4.58,3.96,4.48,4.23,4.75,4.38,1.59
62903,68,0,0,2014-08-23,2019-11-15,4.9,4.85,4.75,4.84,4.89,4.91,4.78,0.77
62925,145,15,1,2014-12-07,2021-10-08,4.78,4.82,4.68,4.92,4.9,4.85,4.7,1.7
63588,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63657,268,0,0,2011-09-20,2019-12-08,4.59,4.64,4.76,4.9,4.88,4.23,4.59,2.16
63693,153,0,0,2012-05-28,2019-12-26,4.37,4.39,3.81,4.46,4.36,4.64,4.23,1.32
64000,14,0,0,2015-09-21,2018-10-01,4.92,4.92,4.69,4.75,4.92,4.67,4.5,0.19
64015,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64107,308,0,0,2011-08-23,2020-01-03,4.79,4.81,4.83,4.89,4.89,4.41,4.72,2.46
64314,45,0,0,2011-07-10,2020-02-22,4.82,4.91,4.91,4.87,4.76,4.4,4.8,0.36
64361,69,0,0,2014-06-02,2019-11-16,4.53,4.6,4.52,4.73,4.79,4.28,4.46,0.75
64365,244,0,0,2018-05-13,2019-12-23,4.78,4.77,4.8,4.82,4.72,4.51,4.78,5.62
64837,224,9,3,2013-08-09,2021-11-08,4.56,4.71,4.17,4.77,4.87,4.81,4.59,2.21
65268,63,0,0,2015-08-18,2018-07-26,4.92,4.94,4.97,4.94,4.98,4.37,4.77,0.82
65425,1,0,0,2010-12-21,2010-12-21,5,NA,NA,NA,NA,NA,NA,0.01
65615,56,0,0,2016-10-26,2020-09-05,4.67,4.86,4.84,4.91,4.96,4.79,4.64,0.9
65660,159,1,0,2016-01-03,2020-10-06,4.52,4.56,4.58,4.62,4.85,4.66,4.53,2.2
65813,20,0,0,2017-11-03,2019-01-02,4.9,4.89,4.89,5,5,4.8,4.9,0.4
66008,68,0,0,2012-03-31,2020-03-22,4.87,4.96,4.99,4.97,4.99,4.97,4.73,0.58
66251,122,25,1,2016-07-02,2021-11-08,4.93,4.94,4.77,4.75,4.93,4.93,4.78,1.85
66275,161,29,3,2015-09-26,2021-11-26,4.86,4.92,4.74,4.95,4.96,4.92,4.71,2.13
66718,216,5,0,2012-09-11,2021-10-02,4.35,4.6,4.33,4.79,4.82,4.35,4.47,1.92
66741,259,9,5,2013-03-20,2021-11-28,4.82,4.89,4.9,4.94,4.9,4.97,4.77,2.44
66974,152,54,5,2014-10-21,2021-11-23,4.99,4.97,4.98,4.99,4.98,4.96,4.89,1.75
67288,38,7,1,2015-08-20,2021-11-30,4.84,4.92,4.68,5,5,4.68,4.73,0.5
67299,71,7,1,2016-05-02,2021-07-16,4.88,4.87,4.93,4.99,5,4.93,4.83,1.04
67397,105,0,0,2011-10-19,2019-12-31,4.79,4.75,4.82,4.96,4.99,4.67,4.73,0.85
68253,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68735,33,0,0,2012-05-23,2019-11-21,4.97,4.97,4.97,5,4.9,4.97,4.81,0.28
68900,7,0,0,2014-09-16,2019-10-26,4.86,4.86,4.57,4.86,4.86,4.86,4.86,0.08
68974,226,10,0,2011-03-04,2021-09-20,4.86,4.88,4.88,4.83,4.87,4.78,4.64,1.73
69894,56,4,0,2014-08-11,2021-07-01,4.83,4.85,4.47,4.91,4.93,4.96,4.76,0.63
71248,55,5,0,2018-08-12,2021-08-07,4.83,4.8,4.56,4.94,4.94,4.78,4.78,1.36
71366,43,1,0,2017-07-03,2021-07-03,4.85,4.9,4.83,4.95,4.88,4.95,4.73,0.8
71384,50,0,0,2011-03-27,2014-04-08,4.98,4.98,4.8,4.93,4.98,4.84,4.84,0.38
71812,11,3,1,2020-01-08,2021-11-14,4.64,4.91,4.91,4.91,4.91,4.91,4.82,0.47
72190,37,0,0,2015-06-02,2018-08-04,4.51,4.72,4.14,4.86,4.83,4.97,4.71,0.47
72265,35,1,0,2019-06-16,2021-09-28,4.52,4.45,4.52,4.67,4.61,4.85,4.55,1.16
74240,80,10,0,2016-05-06,2021-09-03,4.64,4.64,4.38,4.79,4.78,4.9,4.4,1.18
74333,36,0,0,2015-03-15,2020-07-21,4.12,4.34,3.94,4.88,4.68,4.12,4.26,0.44
74438,52,0,0,2011-07-26,2014-09-23,4.84,4.9,4.54,4.79,4.92,4.79,4.71,0.41
74680,230,5,1,2014-06-19,2021-10-30,4.66,4.77,4.6,4.89,4.91,4.3,4.66,2.53
74821,47,0,0,2013-09-05,2018-09-04,4.67,4.81,4.36,4.77,4.83,4.51,4.68,0.47
74860,3,0,0,2011-03-28,2019-10-30,4.67,5,4.67,4,4.67,4.67,4.67,0.02
75635,322,1,0,2011-06-17,2020-12-10,4.81,4.81,4.82,4.86,4.87,4.64,4.77,2.53
77517,3,0,0,2011-06-28,2012-07-23,5,5,4.33,5,4.67,5,5,0.02
77765,38,0,0,2018-05-18,2019-09-20,4.91,4.97,4.95,5,4.89,4.41,4.78,0.88
80493,198,2,0,2012-06-24,2021-08-31,4.33,4.44,3.9,4.84,4.76,4.84,4.44,1.72
80684,10,2,2,2011-11-20,2016-03-27,5,5,5,5,4.89,4.78,4.56,0.08
80700,7,0,0,2011-12-24,2019-05-24,4.57,5,4.67,4.83,4.83,3.67,4.83,0.06
80924,37,0,0,2016-08-18,2020-01-24,4.86,4.77,4.58,4.89,4.83,4.97,4.8,0.57
81739,2,0,0,2011-05-12,2011-03-25,4,5,5,5,4.5,3.5,4.5,0.02
82549,67,0,0,2013-05-10,2019-12-08,4.87,4.82,4.63,4.84,4.85,4.9,4.69,0.64
82550,99,2,0,2016-09-26,2021-05-31,4.8,4.8,4.66,4.93,4.93,4.95,4.65,1.57
82638,275,5,1,2012-01-06,2021-11-12,4.79,4.88,4.7,4.87,4.92,4.83,4.66,2.28
82928,73,2,0,2016-05-09,2021-06-18,4.9,4.93,4.92,4.94,4.94,4.92,4.9,1.08
83243,250,0,0,2012-08-04,2020-02-09,4.43,4.58,4.41,4.79,4.82,4.17,4.44,2.2
83446,6,0,0,2011-04-23,2019-08-21,4.67,5,4.8,5,4.8,4.8,4.8,0.05
83847,44,0,0,2011-05-20,2020-03-08,4.9,4.93,4.78,4.85,4.98,4.76,4.59,0.34
84010,17,1,0,2011-11-07,2021-11-03,4.88,5,5,4.94,4.82,4.82,4.82,0.14
87566,12,1,0,2013-05-07,2021-08-31,4.9,4.73,4.55,4.91,5,4.82,4.73,0.11
89621,238,0,0,2011-11-26,2020-01-19,4.45,4.57,4.69,4.73,4.62,4.26,4.45,1.95
93313,114,11,0,2014-06-09,2021-10-17,4.73,4.86,4.81,4.93,4.93,4.52,4.66,1.25
94209,16,16,1,2021-05-20,2021-11-07,4.88,4.88,4.88,4.94,4.94,4.88,4.88,2.4
94477,400,0,0,2011-08-27,2020-03-15,4.76,4.87,4.52,4.9,4.86,4.41,4.74,3.2
94783,120,7,2,2013-03-16,2021-11-27,4.86,4.83,4.78,4.83,4.96,4.52,4.7,1.13
95747,15,2,0,2011-05-03,2021-08-14,5,4.86,4.57,5,5,4.79,4.93,0.12
95883,6,1,0,2016-08-13,2021-07-25,4.67,5,4.83,5,5,4.5,4.5,0.09
98663,19,0,0,2013-03-19,2018-06-11,4.81,4.78,4.44,4.94,5,4.67,4.83,0.18
99085,24,6,1,2014-10-01,2021-11-21,5,4.96,4.75,4.92,5,5,4.83,0.27
99662,28,0,0,2012-12-02,2014-06-17,4.28,4.25,4.04,4.68,4.75,4.68,4.32,0.26
100186,109,5,1,2014-10-14,2021-11-14,4.93,4.97,4.92,4.96,4.95,4.79,4.89,1.25
100368,35,2,0,2011-07-17,2021-05-31,4.84,4.82,4.68,4.88,4.91,5,4.67,0.28
101053,38,1,0,2011-05-09,2020-01-21,4.9,4.81,4.48,4.97,4.97,4.52,4.58,0.3
103161,140,7,0,2013-12-03,2021-09-24,4.78,4.89,4.9,4.88,4.94,4.88,4.54,1.44
103311,9,0,0,2011-06-20,2018-05-19,4.17,4.71,4.86,4.57,4.57,3.57,4.57,0.07
105790,144,0,0,2014-01-01,2019-06-08,4.86,4.91,4.86,4.87,4.92,4.57,4.8,1.49
106363,427,10,1,2012-04-05,2021-11-02,4.85,4.82,4.77,4.93,4.93,4.63,4.84,3.63
106647,115,16,2,2012-10-06,2021-11-28,4.88,4.92,4.78,4.89,4.91,4.8,4.82,1.03
107630,295,19,1,2012-05-02,2021-10-18,4.73,4.71,4.69,4.88,4.87,4.88,4.64,2.52
107895,61,2,0,2013-05-14,2021-01-16,4.62,4.71,4.76,4.55,4.69,4.79,4.62,0.59
110739,70,9,1,2011-11-01,2021-10-19,4.9,4.9,4.72,4.96,4.99,4.93,4.87,0.57
112100,3,0,0,2011-08-01,2011-08-08,4.5,5,5,5,5,4.67,5,0.02
112304,1,0,0,2016-01-02,2016-01-02,5,5,4,5,5,4,5,0.01
112435,177,0,0,2014-07-30,2019-12-06,4.62,4.7,4.74,4.78,4.71,4.85,4.68,1.98
113092,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113265,270,0,0,2012-09-03,2020-02-11,4.75,4.86,4.83,4.86,4.8,4.51,4.82,2.4
114123,34,0,0,2014-09-05,2020-01-11,4.5,4.39,3.93,4.61,4.89,4.64,4.26,0.39
115535,34,0,0,2011-08-18,2019-10-30,4.76,4.88,4.64,4.94,4.88,4.7,4.85,0.27
115748,34,2,0,2013-11-04,2021-07-31,4.57,4.66,4.38,4.87,4.87,4.87,4.52,0.35
116551,172,1,0,2011-10-15,2021-09-14,4.48,4.64,4.4,4.79,4.63,4.3,4.55,1.39
118061,86,1,0,2013-05-15,2021-09-17,4.8,4.86,4.87,4.95,4.97,4.34,4.72,0.83
121687,57,2,0,2019-05-05,2019-12-11,4.45,4.55,3.89,4.61,4.61,4.91,4.41,1.81
121861,26,3,0,2013-08-13,2021-08-16,4.96,5,4.92,4.84,4.92,4.88,4.92,0.26
123784,197,27,1,2011-12-18,2021-10-31,4.71,4.76,4.54,4.91,4.9,4.7,4.61,1.62
125163,54,13,2,2015-11-14,2021-11-14,4.89,4.91,4.89,4.91,4.93,4.76,4.89,0.73
126443,472,58,3,2011-09-03,2021-11-27,4.29,4.21,4.39,4.57,4.45,4.78,4.29,3.78
126816,3,0,0,2011-07-25,2014-11-06,3.67,3.33,3,4.67,4.33,5,4.33,0.02
127387,3,0,0,2011-12-30,2014-08-04,5,5,5,5,5,4.67,5,0.02
132516,54,21,2,2018-09-01,2021-11-25,4.72,4.83,4.87,5,4.89,4.81,4.61,1.36
133025,142,9,0,2016-04-23,2021-10-13,4.84,4.84,4.76,4.81,4.77,4.96,4.83,2.08
134934,27,0,0,2014-12-10,2019-12-07,4.58,4.64,4.44,4.96,4.8,4.92,4.44,0.32
135393,292,2,0,2011-08-25,2021-10-03,4.73,4.69,4.66,4.85,4.93,4.34,4.7,2.33
135465,115,15,1,2013-12-17,2021-11-14,4.8,4.88,4.68,4.93,4.92,4.96,4.65,1.19
135706,10,0,0,2011-09-10,2013-06-12,4.78,4.88,4.63,5,4.88,5,4.75,0.08
136493,29,9,1,2019-01-02,2021-11-28,4.93,4.96,4.79,5,5,4.97,4.83,0.81
139624,80,2,0,2013-05-15,2021-09-21,4.36,4.66,4.22,4.47,4.55,4.23,4.24,0.77
140133,174,2,0,2011-09-04,2021-10-22,4.92,4.9,4.91,4.94,4.95,4.96,4.84,1.39
140973,78,0,0,2016-01-03,2019-12-15,4.68,4.79,4.71,4.78,4.9,4.36,4.53,1.08
141154,263,0,0,2014-03-06,2020-03-11,4.71,4.91,4.74,4.92,4.87,4.83,4.81,2.79
141335,37,2,0,2012-06-24,2021-06-18,4.39,4.38,4.32,4.65,4.57,4.86,4.24,0.32
142069,22,0,0,2014-09-03,2014-11-10,4.6,4.86,3.62,4.57,4.86,4.62,4.48,0.25
144087,24,3,1,2011-10-16,2020-11-30,4.88,4.92,4.54,4.96,4.88,4.67,4.67,0.19
144148,32,0,0,2015-09-03,2015-12-26,4.53,4.63,4.03,4.84,4.94,4.88,4.5,0.42
145064,8,0,0,2012-06-26,2011-08-08,4.71,4.75,4.88,5,5,5,4.75,0.07
145801,29,0,0,2011-08-18,2019-04-28,4.96,4.89,4.85,4.96,5,4.96,4.85,0.23
148201,18,0,0,2012-06-26,2012-10-23,4.88,4.87,4.75,4.94,4.88,4.88,4.81,0.16
148259,84,6,0,2016-12-05,2021-09-19,4.88,4.91,4.84,4.93,4.9,4.95,4.81,1.38
148825,244,26,3,2013-05-10,2021-11-28,4.73,4.78,4.48,4.93,4.91,4.8,4.7,2.34
149210,4,0,0,2018-02-25,2018-07-25,5,5,3,5,5,5,5,0.09
