city,year,population
Anderson,2019,242
Andrews,2010,11148
Andrews,2011,11578
Andrews,2012,12136
Andrews,2013,12655
Andrews,2014,13161
Andrews,2015,13719
Andrews,2016,13492
Andrews,2017,13326
Andrews,2018,13605
Andrews,2019,14109
Angleton,2010,18823
Angleton,2011,18830
Angleton,2012,18883
Angleton,2013,18889
Angleton,2014,19298
Angleton,2015,19288
Angleton,2016,19353
Angleton,2017,19500
Angleton,2018,19500
Angleton,2019,19431
Angus,2010,416
Angus,2011,416
Angus,2012,414
Angus,2013,414
Angus,2014,413
Angus,2015,417
Angus,2016,417
Angus,2017,419
Angus,2018,425
Angus,2019,429
Anna,2010,8269
Anna,2011,8427
Anna,2012,8530
Anna,2013,9547
Anna,2014,10535
Anna,2015,11447
Anna,2016,12062
Anna,2017,12654
Anna,2018,14062
Anna,2019,15000
Annetta,2010,2749
Annetta,2011,2759
Annetta,2012,2769
Annetta,2013,2785
Annetta,2014,2860
Annetta,2015,2939
Annetta,2016,3008
Annetta,2017,3100
Annetta,2018,3181
Annetta,2019,3248
Annetta North,2010,497
Annetta North,2011,502
Annetta North,2012,503
Annetta North,2013,506
Annetta North,2014,514
Annetta North,2015,525
Annetta North,2016,533
Annetta North,2017,545
Annetta North,2018,558
Annetta North,2019,568
Annetta South,2010,506
Annetta South,2011,508
Annetta South,2012,510
Annetta South,2013,516
Annetta South,2014,523
Annetta South,2015,532
Annetta South,2016,540
Annetta South,2017,552
Annetta South,2018,563
Annetta South,2019,573
Annona,2010,315
Annona,2011,310
Annona,2012,310
Annona,2013,304
Annona,2014,302
Annona,2015,299
Annona,2016,293
Annona,2017,290
Annona,2018,291
Annona,2019,288
Anson,2010,2432
Anson,2011,2397
Anson,2012,2350
Anson,2013,2341
Anson,2014,2306
Anson,2015,2313
Anson,2016,2309
Anson,2017,2290
Anson,2018,2275
Anson,2019,2297
Anthony,2010,5042
Anthony,2011,5032
Anthony,2012,5128
Anthony,2013,5257
Anthony,2014,5283
Anthony,2015,5219
Anthony,2016,5029
Anthony,2017,5234
Anthony,2018,5362
Anthony,2019,5352
Anton,2010,1122
Anton,2011,1121
Anton,2012,1122
Anton,2013,1138
Anton,2014,1130
Anton,2015,1115
Anton,2016,1103
Anton,2017,1097
Anton,2018,1096
Anton,2019,1095
Appleby,2010,446
Appleby,2011,449
Appleby,2012,451
Appleby,2013,445
Appleby,2014,444
Appleby,2015,446
Appleby,2016,447
Appleby,2017,444
Appleby,2018,445
Appleby,2019,446
Aquilla,2010,108
Aquilla,2011,108
Aquilla,2012,108
Aquilla,2013,107
Aquilla,2014,107
Aquilla,2015,109
Aquilla,2016,110
Aquilla,2017,111
Aquilla,2018,112
Aquilla,2019,113
Aransas Pass,2010,8170
Aransas Pass,2011,8174
Aransas Pass,2012,8249
Aransas Pass,2013,8351
Aransas Pass,2014,8470
Aransas Pass,2015,8547
Aransas Pass,2016,8417
Aransas Pass,2017,8343
Aransas Pass,2018,8094
Aransas Pass,2019,8388
Archer City,2010,1844
Archer City,2011,1783
Archer City,2012,1779
Archer City,2013,1773
Archer City,2014,1784
Archer City,2015,1762
Archer City,2016,1761
Archer City,2017,1753
Archer City,2018,1740
Archer City,2019,1702
Arcola,2010,1638
Arcola,2011,1715
Arcola,2012,1801
Arcola,2013,1920
Arcola,2014,2050
Arcola,2015,2187
Arcola,2016,2323
Arcola,2017,2440
Arcola,2018,2545
Arcola,2019,2663
Argyle,2010,3264
Argyle,2011,3351
Argyle,2012,3456
Argyle,2013,3575
Argyle,2014,3733
Argyle,2015,3896
Argyle,2016,4013
Argyle,2017,4104
Argyle,2018,4206
Argyle,2019,4381
Arlington,2010,365892
Arlington,2011,370253
Arlington,2012,375629
Arlington,2013,378950
Arlington,2014,382721
Arlington,2015,388728
Arlington,2016,394384
Arlington,2017,397173
Arlington,2018,398123
Arlington,2019,398854
Arp,2010,968
Arp,2011,977
Arp,2012,981
Arp,2013,983
Arp,2014,990
Arp,2015,997
Arp,2016,1004
Arp,2017,1006
Arp,2018,1015
Arp,2019,1030
Asherton,2010,1051
Asherton,2011,1054
Asherton,2012,1091
Asherton,2013,1133
Asherton,2014,1142
Asherton,2015,1130
Asherton,2016,1105
Asherton,2017,1060
Asherton,2018,1048
Asherton,2019,1039
Aspermont,2010,921
Aspermont,2011,901
Aspermont,2012,893
Aspermont,2013,873
Aspermont,2014,857
Aspermont,2015,864
Aspermont,2016,864
Aspermont,2017,849
Aspermont,2018,836
Aspermont,2019,835
Athens,2010,12714
Athens,2011,12776
Athens,2012,12750
Athens,2013,12669
Athens,2014,12638
Athens,2015,12576
Athens,2016,12612
Athens,2017,12598
Athens,2018,12715
Athens,2019,12753
Atlanta,2010,5664
Atlanta,2011,5619
Atlanta,2012,5558
Atlanta,2013,5572
Atlanta,2014,5533
Atlanta,2015,5529
Atlanta,2016,5507
Atlanta,2017,5466
Atlanta,2018,5492
Atlanta,2019,5472
Aubrey,2010,2617
Aubrey,2011,2672
Aubrey,2012,2697
Aubrey,2013,2713
Aubrey,2014,2806
Aubrey,2015,3332
Aubrey,2016,3375
Aubrey,2017,3379
Aubrey,2018,3616
Aubrey,2019,4895
Aurora,2010,1221
Aurora,2011,1250
Aurora,2012,1258
Aurora,2013,1264
Aurora,2014,1275
Aurora,2015,1313
Aurora,2016,1362
Aurora,2017,1411
Aurora,2018,1478
Aurora,2019,1512
Austin,2010,806164
Austin,2011,828459
Austin,2012,854482
Austin,2013,875003
Austin,2014,901170
Austin,2015,921114
Austin,2016,939447
Austin,2017,951553
Austin,2018,962469
Austin,2019,978908
Austwell,2010,147
Austwell,2011,146
Austwell,2012,146
Austwell,2013,148
Austwell,2014,149
Austwell,2015,148
Austwell,2016,148
Austwell,2017,145
Austwell,2018,144
Austwell,2019,145
Avery,2010,477
Avery,2011,469
Avery,2012,471
Avery,2013,462
Avery,2014,461
Avery,2015,456
Avery,2016,450
Avery,2017,448
Avery,2018,448
Avery,2019,444
Avinger,2010,444
Avinger,2011,441
Avinger,2012,434
Avinger,2013,437
Avinger,2014,434
Avinger,2015,433
Avinger,2016,428
Avinger,2017,426
Avinger,2018,426
Avinger,2019,421
Azle,2010,10883
Azle,2011,10990
