city,year,population
Early,2019,3160
Earth,2010,1065
Earth,2011,1071
Earth,2012,1054
Earth,2013,1038
Earth,2014,1023
Earth,2015,1004
Earth,2016,998
Earth,2017,993
Earth,2018,987
Earth,2019,971
East Bernard,2010,2293
East Bernard,2011,2292
East Bernard,2012,2291
East Bernard,2013,2299
East Bernard,2014,2291
East Bernard,2015,2312
East Bernard,2016,2331
East Bernard,2017,2348
East Bernard,2018,2333
East Bernard,2019,2342
Eastland,2010,3980
Eastland,2011,3966
Eastland,2012,3932
Eastland,2013,3881
Eastland,2014,3847
Eastland,2015,3848
Eastland,2016,3858
Eastland,2017,3874
Eastland,2018,3857
Eastland,2019,3850
East Mountain,2010,809
East Mountain,2011,816
East Mountain,2012,819
East Mountain,2013,815
East Mountain,2014,828
East Mountain,2015,829
East Mountain,2016,837
East Mountain,2017,846
East Mountain,2018,850
East Mountain,2019,861
Easton,2010,511
Easton,2011,513
Easton,2012,514
Easton,2013,512
Easton,2014,507
Easton,2015,510
Easton,2016,507
Easton,2017,508
Easton,2018,513
Easton,2019,515
East Tawakoni,2010,876
East Tawakoni,2011,880
East Tawakoni,2012,873
East Tawakoni,2013,880
East Tawakoni,2014,878
East Tawakoni,2015,886
East Tawakoni,2016,895
East Tawakoni,2017,927
East Tawakoni,2018,956
East Tawakoni,2019,985
Ector,2010,695
Ector,2011,696
Ector,2012,691
Ector,2013,689
Ector,2014,689
Ector,2015,692
Ector,2016,699
Ector,2017,715
Ector,2018,729
Ector,2019,736
Edcouch,2010,3175
Edcouch,2011,3193
Edcouch,2012,3206
Edcouch,2013,3196
Edcouch,2014,3248
Edcouch,2015,3270
Edcouch,2016,3320
Edcouch,2017,3349
Edcouch,2018,3342
Edcouch,2019,3313
Eden,2010,2782
Eden,2011,2790
Eden,2012,2771
Eden,2013,2793
Eden,2014,2779
Eden,2015,2728
Eden,2016,2736
Eden,2017,1292
Eden,2018,1277
Eden,2019,1294
Edgecliff Village,2010,2779
Edgecliff Village,2011,2888
Edgecliff Village,2012,2920
Edgecliff Village,2013,2936
Edgecliff Village,2014,2950
Edgecliff Village,2015,2969
Edgecliff Village,2016,3014
Edgecliff Village,2017,3027
Edgecliff Village,2018,3031
Edgecliff Village,2019,3026
Edgewood,2010,1436
Edgewood,2011,1431
Edgewood,2012,1419
Edgewood,2013,1419
Edgewood,2014,1424
Edgewood,2015,1431
Edgewood,2016,1459
Edgewood,2017,1480
Edgewood,2018,1497
Edgewood,2019,1525
Edinburg,2010,82504
Edinburg,2011,84796
Edinburg,2012,86263
Edinburg,2013,88355
Edinburg,2014,90342
Edinburg,2015,91780
Edinburg,2016,92776
Edinburg,2017,95427
Edinburg,2018,98036
Edinburg,2019,101170
Edmonson,2010,111
Edmonson,2011,111
Edmonson,2012,111
Edmonson,2013,109
Edmonson,2014,106
Edmonson,2015,105
Edmonson,2016,105
Edmonson,2017,105
Edmonson,2018,104
Edmonson,2019,103
Edna,2010,5492
Edna,2011,5487
Edna,2012,5550
Edna,2013,5670
Edna,2014,5706
Edna,2015,5741
Edna,2016,5773
Edna,2017,5742
Edna,2018,5820
Edna,2019,5780
Edom,2010,373
Edom,2011,372
Edom,2012,369
Edom,2013,369
Edom,2014,371
Edom,2015,373
Edom,2016,382
Edom,2017,386
Edom,2018,389
Edom,2019,392
El Campo,2010,11685
El Campo,2011,11711
El Campo,2012,11607
El Campo,2013,11559
El Campo,2014,11626
El Campo,2015,11654
El Campo,2016,11693
El Campo,2017,11718
El Campo,2018,11575
El Campo,2019,11539
El Cenizo,2010,3282
El Cenizo,2011,3322
El Cenizo,2012,3353
El Cenizo,2013,3339
El Cenizo,2014,3311
El Cenizo,2015,3278
El Cenizo,2016,3237
El Cenizo,2017,3217
El Cenizo,2018,3188
El Cenizo,2019,3161
Eldorado,2010,1978
Eldorado,2011,1866
Eldorado,2012,1840
Eldorado,2013,1804
Eldorado,2014,1791
Eldorado,2015,1808
Eldorado,2016,1729
Eldorado,2017,1690
Eldorado,2018,1628
Eldorado,2019,1579
Electra,2010,2791
Electra,2011,2754
Electra,2012,2773
Electra,2013,2768
Electra,2014,2752
Electra,2015,2719
Electra,2016,2724
Electra,2017,2729
Electra,2018,2731
Electra,2019,2730
Elgin,2010,8297
Elgin,2011,8358
Elgin,2012,8577
Elgin,2013,8640
Elgin,2014,8836
Elgin,2015,9222
Elgin,2016,9629
Elgin,2017,9902
Elgin,2018,10172
Elgin,2019,10314
Elkhart,2010,1365
Elkhart,2011,1358
Elkhart,2012,1342
Elkhart,2013,1338
Elkhart,2014,1313
Elkhart,2015,1310
Elkhart,2016,1316
Elkhart,2017,1323
Elkhart,2018,1312
Elkhart,2019,1299
El Lago,2010,2697
El Lago,2011,2719
El Lago,2012,2743
El Lago,2013,2752
El Lago,2014,2761
El Lago,2015,2757
El Lago,2016,2740
El Lago,2017,2723
El Lago,2018,2698
El Lago,2019,2663
Elmendorf,2010,1689
Elmendorf,2011,1726
Elmendorf,2012,1776
Elmendorf,2013,1822
Elmendorf,2014,1877
Elmendorf,2015,1936
Elmendorf,2016,1982
Elmendorf,2017,2008
Elmendorf,2018,2049
Elmendorf,2019,2150
El Paso,2010,650671
El Paso,2011,664404
El Paso,2012,674941
El Paso,2013,674808
El Paso,2014,677235
El Paso,2015,676242
El Paso,2016,679955
El Paso,2017,681343
El Paso,2018,679875
El Paso,2019,681728
Elsa,2010,6349
Elsa,2011,6739
Elsa,2012,6964
Elsa,2013,7242
Elsa,2014,7264
Elsa,2015,7267
Elsa,2016,7253
Elsa,2017,7216
Elsa,2018,7193
Elsa,2019,7174
Emhouse,2010,133
Emhouse,2011,133
Emhouse,2012,135
Emhouse,2013,133
Emhouse,2014,133
Emhouse,2015,134
Emhouse,2016,136
Emhouse,2017,138
Emhouse,2018,142
Emhouse,2019,145
Emory,2010,1225
Emory,2011,1230
Emory,2012,1227
Emory,2013,1226
Emory,2014,1216
Emory,2015,1225
Emory,2016,1231
Emory,2017,1271
Emory,2018,1314
Emory,2019,1353
Enchanted Oaks,2010,326
Enchanted Oaks,2011,328
Enchanted Oaks,2012,329
Enchanted Oaks,2013,326
Enchanted Oaks,2014,328
Enchanted Oaks,2015,328
Enchanted Oaks,2016,329
Enchanted Oaks,2017,333
Enchanted Oaks,2018,337
Enchanted Oaks,2019,341
Encinal,2010,560
Encinal,2011,570
Encinal,2012,584
Encinal,2013,584
Encinal,2014,585
Encinal,2015,597
Encinal,2016,593
Encinal,2017,589
Encinal,2018,586
Encinal,2019,591
Ennis,2010,18647
Ennis,2011,18745
Ennis,2012,18686
Ennis,2013,18688
Ennis,2014,18784
Ennis,2015,18962
Ennis,2016,19133
Ennis,2017,19357
Ennis,2018,19934
Ennis,2019,20357
Escobares,2010,2414
Escobares,2011,2434
Escobares,2012,2443
Escobares,2013,2458
Escobares,2014,2480
Escobares,2015,2498
Escobares,2016,2539
Escobares,2017,2553
Escobares,2018,2558
Escobares,2019,2575
Estelline,2010,145
Estelline,2011,144
Estelline,2012,142
Estelline,2013,138
Estelline,2014,134
Estelline,2015,135
Estelline,2016,136
Estelline,2017,132
Estelline,2018,131
Estelline,2019,129
Euless,2010,51411
Euless,2011,52052
Euless,2012,52756
Euless,2013,53140
Euless,2014,53569
Euless,2015,54163
Euless,2016,54881
Euless,2017,55252
Euless,2018,57241
Euless,2019,57197
Eureka,2010,280
Eureka,2011,280
Eureka,2012,281
Eureka,2013,283
Eureka,2014,282
Eureka,2015,284
Eureka,2016,287
Eureka,2017,291
Eureka,2018,302
Eureka,2019,307
Eustace,2010,996
Eustace,2011,993
Eustace,2012,992
Eustace,2013,981
Eustace,2014,987
Eustace,2015,983
Eustace,2016,987
Eustace,2017,992
Eustace,2018,1000
Eustace,2019,1006
Evant,2010,430
Evant,2011,430
Evant,2012,427
Evant,2013,421
Evant,2014,415
Evant,2015,413
Evant,2016,408
Evant,2017,408
Evant,2018,408
Evant,2019,410
Everman,2010,6037
Everman,2011,6089
Everman,2012,6149
Everman,2013,6177
Everman,2014,6216
Everman,2015,6256
Everman,2016,6293
Everman,2017,6287
Everman,2018,6249
Everman,2019,6201
Fairchilds village,2010,800
Fairchilds village,2011,838
Fairchilds village,2012,879
Fairchilds village,2013,936
Fairchilds village,2014,1000
Fairchilds village,2015,1065
Fairchilds village,2016,1129
Fairchilds village,2017,1189
Fairchilds village,2018,1238
Fairchilds village,2019,1297
Fairfield,2010,2956
Fairfield,2011,2917
Fairfield,2012,2875
Fairfield,2013,2904
Fairfield,2014,2901
Fairfield,2015,2927
Fairfield,2016,2918
Fairfield,2017,2906
Fairfield,2018,2914
Fairfield,2019,2892
Fair Oaks Ranch,2010,6746
Fair Oaks Ranch,2011,6909
Fair Oaks Ranch,2012,7084
Fair Oaks Ranch,2013,7317
Fair Oaks Ranch,2014,7686
Fair Oaks Ranch,2015,8179
Fair Oaks Ranch,2016,8742
Fair Oaks Ranch,2017,9231
Fair Oaks Ranch,2018,9685
Fair Oaks Ranch,2019,10042
Fairview,2010,7297
Fairview,2011,7611
Fairview,2012,7922
Fairview,2013,8174
Fairview,2014,8372
Fairview,2015,8470
Fairview,2016,8441
Fairview,2017,8987
Fairview,2018,9091
Fairview,2019,9141
Falfurrias,2010,4950
Falfurrias,2011,4954
Falfurrias,2012,4933
Falfurrias,2013,4969
Falfurrias,2014,4940
Falfurrias,2015,4906
Falfurrias,2016,4900
Falfurrias,2017,4851
Falfurrias,2018,4822
Falfurrias,2019,4812
Falls City,2010,614
Falls City,2011,621
Falls City,2012,640
Falls City,2013,656
Falls City,2014,671
Falls City,2015,682
Falls City,2016,686
Falls City,2017,688
Falls City,2018,693
Falls City,2019,689
Farmers Branch,2010,29180
Farmers Branch,2011,29487
Farmers Branch,2012,29920
Farmers Branch,2013,32200
Farmers Branch,2014,33064
Farmers Branch,2015,33219
Farmers Branch,2016,35652
Farmers Branch,2017,37600
Farmers Branch,2018,40527
Farmers Branch,2019,48158
Farmersville,2010,3309
Farmersville,2011,3377
Farmersville,2012,3411
Farmersville,2013,3394
Farmersville,2014,3415
Farmersville,2015,3437
Farmersville,2016,3497
Farmersville,2017,3479
Farmersville,2018,3435
Farmersville,2019,3630
Farwell,2010,1361
Farwell,2011,1361
Farwell,2012,1349
Farwell,2013,1323
Farwell,2014,1318
Farwell,2015,1321
Farwell,2016,1314
Farwell,2017,1307
Farwell,2018,1308
Farwell,2019,1291
Fate,2010,7557
Fate,2011,8157
Fate,2012,8502
Fate,2013,9084
Fate,2014,9754
Fate,2015,10629
Fate,2016,11293
Fate,2017,12369
Fate,2018,14103
Fate,2019,15603
Fayetteville,2010,255
Fayetteville,2011,257
Fayetteville,2012,257
Fayetteville,2013,257
Fayetteville,2014,256
Fayetteville,2015,258
Fayetteville,2016,258
Fayetteville,2017,257
Fayetteville,2018,258
Fayetteville,2019,257
Ferris,2010,2431
Ferris,2011,2460
Ferris,2012,2460
Ferris,2013,2456
Ferris,2014,2475
Ferris,2015,2493
Ferris,2016,2531
Ferris,2017,2613
Ferris,2018,2805
Ferris,2019,2974
Flatonia,2010,1387
Flatonia,2011,1394
Flatonia,2012,1392
Flatonia,2013,1380
Flatonia,2014,1386
Flatonia,2015,1391
Flatonia,2016,1402
Flatonia,2017,1411
Flatonia,2018,1426
Flatonia,2019,1431
Florence,2010,1144
Florence,2011,1170
Florence,2012,1194
Florence,2013,1202
Florence,2014,1217
Florence,2015,1230
Florence,2016,1252
Florence,2017,1257
Florence,2018,1261
Florence,2019,1274
Floresville,2010,6437
Floresville,2011,6581
Floresville,2012,6720
Floresville,2013,6891
Floresville,2014,7030
Floresville,2015,7177
Floresville,2016,7383
Floresville,2017,7592
Floresville,2018,7811
Floresville,2019,8045
Flower Mound,2010,64864
Flower Mound,2011,65982
Flower Mound,2012,67764
Flower Mound,2013,68375
Flower Mound,2014,69525
Flower Mound,2015,70985
Flower Mound,2016,73533
Flower Mound,2017,76700
Flower Mound,2018,77562
Flower Mound,2019,79135
Floydada,2010,3019
Floydada,2011,3000
Floydada,2012,2990
Floydada,2013,2946
Floydada,2014,2799
Floydada,2015,2744
Floydada,2016,2747
Floydada,2017,2736
Floydada,2018,2711
Floydada,2019,2676
Follett,2010,456
Follett,2011,462
Follett,2012,478
Follett,2013,485
Follett,2014,494
Follett,2015,491
Follett,2016,480
Follett,2017,463
Follett,2018,458
Follett,2019,441
Forest Hill,2010,12374
Forest Hill,2011,12512
Forest Hill,2012,12638
Forest Hill,2013,12714
Forest Hill,2014,12819
Forest Hill,2015,13024
Forest Hill,2016,13075
Forest Hill,2017,12967
Forest Hill,2018,12920
Forest Hill,2019,12988
Forney,2010,13945
Forney,2011,14520
Forney,2012,15030
Forney,2013,15682
Forney,2014,16575
Forney,2015,17310
Forney,2016,18845
Forney,2017,20220
Forney,2018,23649
Forney,2019,27236
Forsan,2010,210
Forsan,2011,210
Forsan,2012,214
Forsan,2013,219
Forsan,2014,224
Forsan,2015,229
Forsan,2016,224
Forsan,2017,222
Forsan,2018,224
Forsan,2019,229
Fort Stockton,2010,8354
Fort Stockton,2011,8405
Fort Stockton,2012,8326
Fort Stockton,2013,8371
Fort Stockton,2014,8443
Fort Stockton,2015,8531
Fort Stockton,2016,8396
Fort Stockton,2017,8376
Fort Stockton,2018,8383
Fort Stockton,2019,8421
Fort Worth,2010,748441
Fort Worth,2011,764142
Fort Worth,2012,781046
Fort Worth,2013,796073
Fort Worth,2014,815057
Fort Worth,2015,835356
Fort Worth,2016,856177
Fort Worth,2017,874809
Fort Worth,2018,893216
Fort Worth,2019,909585
Franklin,2010,1610
Franklin,2011,1621
Franklin,2012,1616
Franklin,2013,1605
Franklin,2014,1603
Franklin,2015,1610
Franklin,2016,1609
Franklin,2017,1626
Franklin,2018,1649
Franklin,2019,1645
Frankston,2010,1229
Frankston,2011,1226
Frankston,2012,1213
Frankston,2013,1203
Frankston,2014,1194
Frankston,2015,1189
Frankston,2016,1174
Frankston,2017,1177
Frankston,2018,1169
Frankston,2019,1170
Fredericksburg,2010,10565
Fredericksburg,2011,10634
Fredericksburg,2012,10696
Fredericksburg,2013,10773
Fredericksburg,2014,10806
Fredericksburg,2015,11018
Fredericksburg,2016,11132
Fredericksburg,2017,11248
Fredericksburg,2018,11351
Fredericksburg,2019,11496
Freeport,2010,12061
Freeport,2011,12054
Freeport,2012,12059
Freeport,2013,12050
Freeport,2014,12120
Freeport,2015,12075
Freeport,2016,12071
Freeport,2017,12194
Freeport,2018,12209
Freeport,2019,12136
Freer,2010,2808
Freer,2011,2802
Freer,2012,2780
Freer,2013,2772
Freer,2014,2762
Freer,2015,2724
Freer,2016,2720
Freer,2017,2671
Freer,2018,2663
Freer,2019,2666
Friendswood,2010,36020
Friendswood,2011,36418
Friendswood,2012,37040
Friendswood,2013,37657
Friendswood,2014,38294
Friendswood,2015,38859
Friendswood,2016,39395
Friendswood,2017,39827
Friendswood,2018,40120
Friendswood,2019,40290
Friona,2010,4124
Friona,2011,4126
Friona,2012,4083
Friona,2013,4006
Friona,2014,3987
Friona,2015,3906
Friona,2016,3886
Friona,2017,3862
Friona,2018,3859
Friona,2019,3808
Frisco,2010,118201
Frisco,2011,123515
Frisco,2012,128445
Frisco,2013,136794
Frisco,2014,144965
Frisco,2015,154390
Frisco,2016,164176
Frisco,2017,177730
Frisco,2018,188452
Frisco,2019,200490
Fritch,2010,2110
Fritch,2011,2098
Fritch,2012,2096
Fritch,2013,2082
Fritch,2014,2076
Fritch,2015,2060
Fritch,2016,2024
Fritch,2017,1993
Fritch,2018,1968
Fritch,2019,1952
Frost,2010,640
Frost,2011,637
Frost,2012,645
Frost,2013,640
Frost,2014,637
Frost,2015,640
Frost,2016,637
Frost,2017,636
Frost,2018,636
Frost,2019,641
Fruitvale,2010,408
Fruitvale,2011,407
Fruitvale,2012,403
Fruitvale,2013,403
Fruitvale,2014,405
Fruitvale,2015,411
Fruitvale,2016,417
Fruitvale,2017,421
Fruitvale,2018,425
Fruitvale,2019,428
Fulshear,2010,1170
Fulshear,2011,1173
Fulshear,2012,1875
Fulshear,2013,2933
Fulshear,2014,4271
Fulshear,2015,5836
Fulshear,2016,7889
Fulshear,2017,10017
Fulshear,2018,11941
Fulshear,2019,13914
Fulton,2010,1361
Fulton,2011,1366
Fulton,2012,1385
Fulton,2013,1416
Fulton,2014,1481
Fulton,2015,1516
Fulton,2016,1551
Fulton,2017,1580
Fulton,2018,1500
Fulton,2019,1487
Gainesville,2010,16015
Gainesville,2011,15967
Gainesville,2012,16046
Gainesville,2013,15910
Gainesville,2014,16029
Gainesville,2015,16162
Gainesville,2016,16200
Gainesville,2017,16398
Gainesville,2018,16603
Gainesville,2019,16886
Galena Park,2010,10910
Galena Park,2011,10990
Galena Park,2012,11078
Galena Park,2013,11118
Galena Park,2014,11159
Galena Park,2015,11147
Galena Park,2016,11086
Galena Park,2017,11008
Galena Park,2018,10891
Galena Park,2019,10757
Gallatin,2010,418
Gallatin,2011,420
Gallatin,2012,420
Gallatin,2013,417
Gallatin,2014,419
Gallatin,2015,424
Gallatin,2016,426
Gallatin,2017,429
Gallatin,2018,433
Gallatin,2019,434
Galveston,2010,47793
Galveston,2011,47555
Galveston,2012,48100
Galveston,2013,48658
Galveston,2014,49251
Galveston,2015,49691
Galveston,2016,50186
Galveston,2017,50569
Galveston,2018,50396
Galveston,2019,50446
Ganado,2010,1996
Ganado,2011,1978
Ganado,2012,2023
Ganado,2013,2077
Ganado,2014,2093
Ganado,2015,2095
Ganado,2016,2097
Ganado,2017,2083
Ganado,2018,2069
Ganado,2019,2055
Garden Ridge,2010,3293
Garden Ridge,2011,3404
Garden Ridge,2012,3501
Garden Ridge,2013,3618
Garden Ridge,2014,3701
Garden Ridge,2015,3810
Garden Ridge,2016,3909
Garden Ridge,2017,3945
Garden Ridge,2018,4011
Garden Ridge,2019,4130
Garland,2010,227345
Garland,2011,230055
Garland,2012,233698
Garland,2013,234660
Garland,2014,235590
Garland,2015,237161
Garland,2016,236310
Garland,2017,238327
Garland,2018,241709
Garland,2019,239928
Garrett,2010,810
Garrett,2011,817
Garrett,2012,818
Garrett,2013,824
Garrett,2014,832
Garrett,2015,845
Garrett,2016,854
Garrett,2017,866
Garrett,2018,881
Garrett,2019,892
Garrison,2010,893
Garrison,2011,905
Garrison,2012,910
Garrison,2013,889
Garrison,2014,887
Garrison,2015,884
Garrison,2016,872
Garrison,2017,884
Garrison,2018,873
Garrison,2019,873
Gary City,2010,307
Gary City,2011,309
Gary City,2012,311
Gary City,2013,306
Gary City,2014,306
Gary City,2015,306
Gary City,2016,302
Gary City,2017,300
Gary City,2018,299
Gary City,2019,300
Gatesville,2010,12470
Gatesville,2011,12614
Gatesville,2012,12677
Gatesville,2013,12542
Gatesville,2014,12355
Gatesville,2015,12512
Gatesville,2016,12403
Gatesville,2017,12320
Gatesville,2018,12237
Gatesville,2019,12401
Georgetown,2010,48012
Georgetown,2011,50310
Georgetown,2012,52483
Georgetown,2013,54831
Georgetown,2014,58974
Georgetown,2015,63533
Georgetown,2016,67028
Georgetown,2017,70640
Georgetown,2018,74275
Georgetown,2019,79604
George West,2010,2447
George West,2011,2442
George West,2012,2460
George West,2013,2488
George West,2014,2550
George West,2015,2576
George West,2016,2547
George West,2017,2563
George West,2018,2557
George West,2019,2562
Gholson,2010,1064
Gholson,2011,1075
Gholson,2012,1076
Gholson,2013,1081
Gholson,2014,1088
Gholson,2015,1090
Gholson,2016,1093
Gholson,2017,1096
Gholson,2018,1110
Gholson,2019,1118
Giddings,2010,4867
Giddings,2011,4866
Giddings,2012,4850
Giddings,2013,4939
Giddings,2014,4949
Giddings,2015,5012
Giddings,2016,5035
Giddings,2017,5079
Giddings,2018,5063
Giddings,2019,5099
Gilmer,2010,4900
Gilmer,2011,4951
Gilmer,2012,5023
Gilmer,2013,5048
Gilmer,2014,5074
Gilmer,2015,5061
Gilmer,2016,5110
Gilmer,2017,5115
Gilmer,2018,5100
Gilmer,2019,5143
Gladewater,2010,6416
Gladewater,2011,6451
Gladewater,2012,6451
Gladewater,2013,6365
Gladewater,2014,6333
Gladewater,2015,6316
Gladewater,2016,6327
Gladewater,2017,6286
Gladewater,2018,6313
Gladewater,2019,6341
Glenn Heights,2010,11223
Glenn Heights,2011,11433
Glenn Heights,2012,11645
Glenn Heights,2013,11758
Glenn Heights,2014,11891
Glenn Heights,2015,12046
Glenn Heights,2016,12405
Glenn Heights,2017,13030
Glenn Heights,2018,13140
Glenn Heights,2019,13377
Glen Rose,2010,2460
Glen Rose,2011,2446
Glen Rose,2012,2489
Glen Rose,2013,2491
Glen Rose,2014,2482
Glen Rose,2015,2510
Glen Rose,2016,2525
Glen Rose,2017,2611
Glen Rose,2018,2666
Glen Rose,2019,2699
Godley,2010,1004
Godley,2011,1007
Godley,2012,1025
Godley,2013,1019
Godley,2014,1043
Godley,2015,1060
Godley,2016,1101
Godley,2017,1128
Godley,2018,1224
Godley,2019,1373
Goldsmith,2010,257
Goldsmith,2011,260
Goldsmith,2012,266
Goldsmith,2013,273
Goldsmith,2014,276
Goldsmith,2015,285
Goldsmith,2016,280
Goldsmith,2017,277
Goldsmith,2018,285
Goldsmith,2019,294
Goldthwaite,2010,1896
Goldthwaite,2011,1863
Goldthwaite,2012,1839
Goldthwaite,2013,1853
Goldthwaite,2014,1846
Goldthwaite,2015,1855
Goldthwaite,2016,1847
Goldthwaite,2017,1862
Goldthwaite,2018,1840
Goldthwaite,2019,1833
Goliad,2010,1909
Goliad,2011,1905
Goliad,2012,1932
Goliad,2013,1959
Goliad,2014,1971
Goliad,2015,1965
Goliad,2016,1961
Goliad,2017,1973
Goliad,2018,1992
Goliad,2019,2004
Golinda,2010,556
Golinda,2011,557
Golinda,2012,555
Golinda,2013,553
Golinda,2014,553
Golinda,2015,561
Golinda,2016,570
Golinda,2017,580
Golinda,2018,582
Golinda,2019,589
Gonzales,2010,7228
Gonzales,2011,7191
Gonzales,2012,7237
Gonzales,2013,7297
Gonzales,2014,7362
Gonzales,2015,7446
Gonzales,2016,7549
Gonzales,2017,7521
Gonzales,2018,7528
Gonzales,2019,7533
Goodlow,2010,200
Goodlow,2011,200
Goodlow,2012,199
Goodlow,2013,196
Goodlow,2014,196
Goodlow,2015,196
Goodlow,2016,196
Goodlow,2017,196
Goodlow,2018,197
Goodlow,2019,198
Goodrich,2010,272
Goodrich,2011,274
Goodrich,2012,273
Goodrich,2013,274
Goodrich,2014,277
Goodrich,2015,283
Goodrich,2016,293
Goodrich,2017,305
Goodrich,2018,312
Goodrich,2019,323
Gordon,2010,471
Gordon,2011,467
Gordon,2012,464
Gordon,2013,465
Gordon,2014,467
Gordon,2015,465
Gordon,2016,467
Gordon,2017,475
Gordon,2018,480
Gordon,2019,486
Goree,2010,203
Goree,2011,204
Goree,2012,205
Goree,2013,204
Goree,2014,208
Goree,2015,209
Goree,2016,206
Goree,2017,204
Goree,2018,202
Goree,2019,203
Gorman,2010,1084
Gorman,2011,1075
Gorman,2012,1066
Gorman,2013,1051
Gorman,2014,1053
Gorman,2015,1023
Gorman,2016,1030
Gorman,2017,1035
Gorman,2018,1034
Gorman,2019,1035
Graford,2010,583
Graford,2011,581
Graford,2012,578
Graford,2013,580
Graford,2014,587
Graford,2015,587
Graford,2016,594
Graford,2017,607
Graford,2018,617
Graford,2019,627
Graham,2010,8893
Graham,2011,8809
Graham,2012,8758
Graham,2013,8811
Graham,2014,8807
Graham,2015,8760
Graham,2016,8726
Graham,2017,8624
Graham,2018,8627
Graham,2019,8622
Granbury,2010,8039
Granbury,2011,8151
Granbury,2012,8328
Granbury,2013,8603
Granbury,2014,8875
Granbury,2015,9219
Granbury,2016,9522
Granbury,2017,9885
Granbury,2018,10350
Granbury,2019,10730
Grandfalls,2010,357
Grandfalls,2011,360
Grandfalls,2012,366
Grandfalls,2013,379
Grandfalls,2014,388
Grandfalls,2015,391
Grandfalls,2016,385
Grandfalls,2017,381
Grandfalls,2018,391
Grandfalls,2019,403
Grand Prairie,2010,175974
Grand Prairie,2011,178903
Grand Prairie,2012,182030
Grand Prairie,2013,183891
Grand Prairie,2014,185824
Grand Prairie,2015,188411
Grand Prairie,2016,192095
Grand Prairie,2017,193973
Grand Prairie,2018,193989
Grand Prairie,2019,194543
Grand Saline,2010,3128
Grand Saline,2011,3073
Grand Saline,2012,3031
Grand Saline,2013,3005
Grand Saline,2014,3064
Grand Saline,2015,3058
Grand Saline,2016,3082
Grand Saline,2017,3126
Grand Saline,2018,3152
Grand Saline,2019,3173
Grandview,2010,1566
Grandview,2011,1565
Grandview,2012,1570
Grandview,2013,1559
Grandview,2014,1572
Grandview,2015,1593
Grandview,2016,1635
Grandview,2017,1705
Grandview,2018,1749
Grandview,2019,1798
Granger,2010,1424
Granger,2011,1451
Granger,2012,1460
Granger,2013,1466
Granger,2014,1491
Granger,2015,1506
Granger,2016,1519
Granger,2017,1520
Granger,2018,1497
Granger,2019,1505
Granite Shoals,2010,5009
Granite Shoals,2011,5029
Granite Shoals,2012,5019
Granite Shoals,2013,5013
Granite Shoals,2014,5030
Granite Shoals,2015,5078
Granite Shoals,2016,5145
Granite Shoals,2017,5151
Granite Shoals,2018,5133
Granite Shoals,2019,5087
Granjeno,2010,294
Granjeno,2011,296
Granjeno,2012,297
Granjeno,2013,296
Granjeno,2014,296
Granjeno,2015,295
Granjeno,2016,297
Granjeno,2017,300
Granjeno,2018,309
Granjeno,2019,315
Grapeland,2010,1496
Grapeland,2011,1482
Grapeland,2012,1466
Grapeland,2013,1441
Grapeland,2014,1435
Grapeland,2015,1435
Grapeland,2016,1443
Grapeland,2017,1450
Grapeland,2018,1451
Grapeland,2019,1443
Grapevine,2010,46610
Grapevine,2011,47102
Grapevine,2012,48427
Grapevine,2013,50117
Grapevine,2014,50772
Grapevine,2015,51430
Grapevine,2016,52055
Grapevine,2017,53974
Grapevine,2018,53809
Grapevine,2019,55281
Grays Prairie village,2010,314
Grays Prairie village,2011,316
Grays Prairie village,2012,318
Grays Prairie village,2013,324
Grays Prairie village,2014,329
Grays Prairie village,2015,335
Grays Prairie village,2016,341
Grays Prairie village,2017,353
Grays Prairie village,2018,357
Grays Prairie village,2019,372
Greenville,2010,25623
Greenville,2011,25667
Greenville,2012,25678
Greenville,2013,25656
Greenville,2014,25879
Greenville,2015,26143
Greenville,2016,26720
Greenville,2017,27361
Greenville,2018,28207
Greenville,2019,28827
Gregory,2010,1891
Gregory,2011,1883
Gregory,2012,1898
Gregory,2013,1929
Gregory,2014,1951
Gregory,2015,1969
Gregory,2016,1948
Gregory,2017,1940
Gregory,2018,1909
Gregory,2019,1886
Grey Forest,2010,489
Grey Forest,2011,494
Grey Forest,2012,498
Grey Forest,2013,502
Grey Forest,2014,508
Grey Forest,2015,519
Grey Forest,2016,537
Grey Forest,2017,547
Grey Forest,2018,560
Grey Forest,2019,564
Groesbeck,2010,4333
Groesbeck,2011,4344
Groesbeck,2012,4352
Groesbeck,2013,4310
Groesbeck,2014,4328
Groesbeck,2015,4306
Groesbeck,2016,4314
Groesbeck,2017,4287
Groesbeck,2018,4248
Groesbeck,2019,4253
Groom,2010,572
Groom,2011,580
Groom,2012,569
Groom,2013,557
Groom,2014,565
Groom,2015,561
Groom,2016,565
Groom,2017,560
Groom,2018,560
Groom,2019,550
Groves,2010,16104
Groves,2011,16028
Groves,2012,15847
Groves,2013,15824
Groves,2014,15762
Groves,2015,15773
Groves,2016,15771
Groves,2017,15739
Groves,2018,15582
Groves,2019,15480
Groveton,2010,1060
Groveton,2011,1057
Groveton,2012,1035
Groveton,2013,1039
Groveton,2014,1021
Groveton,2015,1034
Groveton,2016,1035
Groveton,2017,1039
Groveton,2018,1030
Groveton,2019,1023
Gruver,2010,1191
Gruver,2011,1187
Gruver,2012,1174
