city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng
Bakersfield,Bakersfield,CA,California,06029,Kern County,35.3529,-119.0359
Mission Viejo,Mission Viejo,CA,California,06059,Orange County,33.6096,-117.6551
New Haven,New Haven,CT,Connecticut,09009,New Haven County,41.3113,-72.9246
Worcester,Worcester,MA,Massachusetts,25027,Worcester County,42.2705,-71.8079
Provo,Provo,UT,Utah,49049,Utah County,40.2457,-111.6457
Akron,Akron,OH,Ohio,39153,Summit County,41.0798,-81.5219
Palm Bay,Palm Bay,FL,Florida,12009,Brevard County,27.9631,-80.6593
Des Moines,Des Moines,IA,Iowa,19153,Polk County,41.5725,-93.6105
Murrieta,Murrieta,CA,California,06065,Riverside County,33.5719,-117.1909
Mesa,Mesa,AZ,Arizona,04013,Maricopa County,33.4015,-111.7178
Staten Island,Staten Island,NY,New York,36085,Richmond County,40.5834,-74.1496
Wichita,Wichita,KS,Kansas,20173,Sedgwick County,37.6895,-97.3443
Toledo,Toledo,OH,Ohio,39095,Lucas County,41.6638,-83.5827
Harrisburg,Harrisburg,PA,Pennsylvania,42043,Dauphin County,40.2752,-76.8843
Port St. Lucie,Port St. Lucie,FL,Florida,12111,St. Lucie County,27.2796,-80.3884
Long Beach,Long Beach,CA,California,06037,Los Angeles County,33.7977,-118.167
Reno,Reno,NV,Nevada,32031,Washoe County,39.5497,-119.8483
Madison,Madison,WI,Wisconsin,55025,Dane County,43.0822,-89.393
Little Rock,Little Rock,AR,Arkansas,05119,Pulaski County,34.7256,-92.3577
Greenville,Greenville,SC,South Carolina,45045,Greenville County,34.8354,-82.3646
Denton,Denton,TX,Texas,48121,Denton County,33.2175,-97.1418
Spokane,Spokane,WA,Washington,53063,Spokane County,47.6671,-117.433
Oakland,Oakland,CA,California,06001,Alameda County,37.7904,-122.2166
Lancaster,Lancaster,PA,Pennsylvania,42071,Lancaster County,40.042,-76.3012
Poughkeepsie,Poughkeepsie,NY,New York,36027,Dutchess County,41.695,-73.9211
Boise,Boise,ID,Idaho,16001,Ada County,43.6005,-116.2308
Winston-Salem,Winston-Salem,NC,North Carolina,37067,Forsyth County,36.1029,-80.261
Syracuse,Syracuse,NY,New York,36067,Onondaga County,43.0407,-76.1437
Augusta,Augusta,GA,Georgia,13245,Richmond County,33.3645,-82.0708
Stockton,Stockton,CA,California,06077,San Joaquin County,37.9765,-121.3109
Palm Coast,Palm Coast,FL,Florida,12035,Flagler County,29.5389,-81.2457
Chattanooga,Chattanooga,TN,Tennessee,47065,Hamilton County,35.066,-85.2481
Kissimmee,Kissimmee,FL,Florida,12097,Osceola County,28.3041,-81.4169
Durham,Durham,NC,North Carolina,37063,Durham County,35.9792,-78.9022
Arlington,Arlington,TX,Texas,48439,Tarrant County,32.6998,-97.125
Victorville,Victorville,CA,California,06071,San Bernardino County,34.5277,-117.3536
Aurora,Aurora,CO,Colorado,08005,Arapahoe County,39.7083,-104.7237
Modesto,Modesto,CA,California,06099,Stanislaus County,37.6375,-121.0028
Lancaster,Lancaster,CA,California,06037,Los Angeles County,34.6935,-118.1753
Fayetteville,Fayetteville,AR,Arkansas,05143,Washington County,36.0714,-94.1661
Scranton,Scranton,PA,Pennsylvania,42069,Lackawanna County,41.4044,-75.6649
Oxnard,Oxnard,CA,California,06111,Ventura County,34.1964,-119.1815
Youngstown,Youngstown,OH,Ohio,39099,Mahoning County,41.0993,-80.6463
Indio,Indio,CA,California,06065,Riverside County,33.7346,-116.2346
Pensacola,Pensacola,FL,Florida,12033,Escambia County,30.4413,-87.1911
Anaheim,Anaheim,CA,California,06059,Orange County,33.839,-117.8574
Bonita Springs,Bonita Springs,FL,Florida,12071,Lee County,26.3558,-81.7859
Greensboro,Greensboro,NC,North Carolina,37081,Guilford County,36.0956,-79.8271
Huntsville,Huntsville,AL,Alabama,01089,Madison County,34.6981,-86.6412
Corpus Christi,Corpus Christi,TX,Texas,48355,Nueces County,27.7254,-97.3767
Fort Wayne,Fort Wayne,IN,Indiana,18003,Allen County,41.0888,-85.1436
Fayetteville,Fayetteville,NC,North Carolina,37051,Cumberland County,35.085,-78.9772
Ann Arbor,Ann Arbor,MI,Michigan,26161,Washtenaw County,42.2759,-83.731
Jackson,Jackson,MS,Mississippi,28049,Hinds County,32.3157,-90.2125
Antioch,Antioch,CA,California,06013,Contra Costa County,37.9787,-121.796
Mobile,Mobile,AL,Alabama,01097,Mobile County,30.6782,-88.1162
Lexington,Lexington,KY,Kentucky,21067,Fayette County,38.0423,-84.4587
Asheville,Asheville,NC,North Carolina,37021,Buncombe County,35.5707,-82.5537
Trenton,Trenton,NJ,New Jersey,34021,Mercer County,40.2237,-74.7641
Santa Rosa,Santa Rosa,CA,California,06097,Sonoma County,38.4458,-122.7067
Santa Ana,Santa Ana,CA,California,06059,Orange County,33.7367,-117.8819
Lansing,Lansing,MI,Michigan,26065,Ingham County,42.7142,-84.5601
Henderson,Henderson,NV,Nevada,32003,Clark County,36.0133,-115.0381
St. Paul,St. Paul,MN,Minnesota,27123,Ramsey County,44.9478,-93.1039
Lakeland,Lakeland,FL,Florida,12105,Polk County,28.0557,-81.9545
Newark,Newark,NJ,New Jersey,34013,Essex County,40.7245,-74.1725
Fort Collins,Fort Collins,CO,Colorado,08069,Larimer County,40.5477,-105.0656
Reading,Reading,PA,Pennsylvania,42011,Berks County,40.34,-75.9267
Springfield,Springfield,MO,Missouri,29077,Greene County,37.1943,-93.2916
Irvine,Irvine,CA,California,06059,Orange County,33.6772,-117.7738
Anchorage,Anchorage,AK,Alaska,02020,Anchorage County,61.1508,-149.1091
The Woodlands,The Woodlands,TX,Texas,48339,Montgomery County,30.1738,-95.5134
South Bend,South Bend,IN,Indiana,18141,St. Joseph County,41.6767,-86.2696
Rockford,Rockford,IL,Illinois,17201,Winnebago County,42.2596,-89.064
Savannah,Savannah,GA,Georgia,13051,Chatham County,32.0286,-81.1821
Lincoln,Lincoln,NE,Nebraska,31109,Lancaster County,40.8099,-96.6784
Jersey City,Jersey City,NJ,New Jersey,34017,Hudson County,40.7184,-74.0686
Round Lake Beach,Round Lake Beach,IL,Illinois,17097,Lake County,42.3791,-88.0811
Flint,Flint,MI,Michigan,26049,Genesee County,43.0236,-83.6921
Shreveport,Shreveport,LA,Louisiana,22017,Caddo County,32.4653,-93.7955
