area_fips,own_code,industry_code,agglvl_code,size_code,avg_annual_pay,naics2,naics6,finance_and_insurance
US000,5,333413,18,0,70850,FALSE,TRUE,FALSE
US000,5,333414,18,0,69932,FALSE,TRUE,FALSE
US000,5,333415,18,0,74128,FALSE,TRUE,FALSE
US000,5,3335,16,0,74655,FALSE,FALSE,FALSE
US000,5,33351,17,0,74655,FALSE,FALSE,FALSE
US000,5,333511,18,0,69076,FALSE,TRUE,FALSE
US000,5,333514,18,0,74102,FALSE,TRUE,FALSE
US000,5,333515,18,0,74647,FALSE,TRUE,FALSE
US000,5,333517,18,0,76546,FALSE,TRUE,FALSE
US000,5,333519,18,0,85785,FALSE,TRUE,FALSE
US000,5,3336,16,0,101415,FALSE,FALSE,FALSE
US000,5,33361,17,0,101415,FALSE,FALSE,FALSE
US000,5,333611,18,0,121732,FALSE,TRUE,FALSE
US000,5,333612,18,0,75883,FALSE,TRUE,FALSE
US000,5,333613,18,0,76308,FALSE,TRUE,FALSE
US000,5,333618,18,0,105688,FALSE,TRUE,FALSE
US000,5,3339,16,0,86467,FALSE,FALSE,FALSE
US000,5,33391,17,0,94260,FALSE,FALSE,FALSE
US000,5,333912,18,0,100347,FALSE,TRUE,FALSE
US000,5,333914,18,0,89945,FALSE,TRUE,FALSE
US000,5,33392,17,0,83033,FALSE,FALSE,FALSE
US000,5,333921,18,0,92665,FALSE,TRUE,FALSE
US000,5,333922,18,0,85595,FALSE,TRUE,FALSE
US000,5,333923,18,0,81023,FALSE,TRUE,FALSE
US000,5,333924,18,0,77756,FALSE,TRUE,FALSE
US000,5,33399,17,0,86208,FALSE,FALSE,FALSE
US000,5,333991,18,0,88420,FALSE,TRUE,FALSE
US000,5,333992,18,0,87216,FALSE,TRUE,FALSE
US000,5,333993,18,0,88167,FALSE,TRUE,FALSE
US000,5,333994,18,0,87693,FALSE,TRUE,FALSE
US000,5,333995,18,0,75601,FALSE,TRUE,FALSE
US000,5,333996,18,0,99595,FALSE,TRUE,FALSE
US000,5,333998,18,0,82418,FALSE,TRUE,FALSE
US000,5,334,15,0,153352,FALSE,FALSE,FALSE
US000,5,3341,16,0,206116,FALSE,FALSE,FALSE
US000,5,33411,17,0,206116,FALSE,FALSE,FALSE
US000,5,334111,18,0,236301,FALSE,TRUE,FALSE
US000,5,334112,18,0,191745,FALSE,TRUE,FALSE
US000,5,334118,18,0,151170,FALSE,TRUE,FALSE
US000,5,3342,16,0,126987,FALSE,FALSE,FALSE
US000,5,33421,17,0,158563,FALSE,FALSE,FALSE
US000,5,334210,18,0,158563,FALSE,TRUE,FALSE
US000,5,33422,17,0,127312,FALSE,FALSE,FALSE
